Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,99900.0
2023-01-10,102770.29775249008
2023-01-11,108739.589832714
2023-01-12,108945.42809234571
2023-01-13,112204.53532393924
2023-01-17,109837.39970044844
2023-01-18,109162.7042343314
2023-01-19,107127.19740272216
2023-01-20,111209.6489482946
2023-01-23,111518.40197546821
2023-01-24,110146.15272762206
2023-01-25,111129.60122091271
2023-01-26,113462.43192188953
2023-01-27,116915.93080621284
2023-01-30,114983.34746669343
2023-01-31,117933.68422201746
2023-02-01,120243.6478828343
2023-02-02,129117.5513626102
2023-02-03,118231.00809138505
2023-02-06,116847.32096118493
2023-02-07,116767.27323380303
2023-02-08,114411.5754926662
2023-02-09,112229.41325898106
2023-02-10,112229.41325898106
2023-02-13,112229.41325898106
2023-02-14,112229.41325898106
2023-02-15,112229.41325898106
2023-02-16,112229.41325898106
2023-02-17,112229.41325898106
2023-02-21,112229.41325898106
2023-02-22,112229.41325898106
2023-02-23,112229.41325898106
2023-02-24,112229.41325898106
2023-02-27,112229.41325898106
2023-02-28,112229.41325898106
2023-03-01,112229.41325898106
2023-03-02,112229.41325898106
2023-03-03,112229.41325898106
2023-03-06,112229.41325898106
2023-03-07,112229.41325898106
2023-03-08,112229.41325898106
2023-03-09,112229.41325898106
2023-03-10,112229.41325898106
2023-03-13,112229.41325898106
2023-03-14,112229.41325898106
2023-03-15,112117.18384572209
2023-03-16,116592.55229090036
2023-03-17,115322.19699911772
2023-03-20,113877.02992145812
2023-03-21,117256.86375247968
2023-03-22,115030.83216699083
2023-03-23,115042.48924996563
2023-03-24,114366.52070541149
2023-03-27,114261.63363388536
2023-03-28,113329.26261437974
2023-03-29,116837.29768287706
2023-03-30,118876.85150776518
2023-03-31,120380.29510854975
2023-04-03,119354.6941004928
2023-04-04,121149.49364165522
2023-04-05,117827.93633375863
2023-04-06,118946.77622211596
2023-04-10,119074.97745959171
2023-04-11,116452.69397044984
2023-04-12,113902.87135366675
2023-04-13,113902.87135366675
2023-04-14,113902.87135366675
2023-04-17,113788.9684823131
2023-04-18,113301.65529526427
2023-04-19,115516.74135421464
2023-04-20,114974.03918585627
2023-04-21,118462.80141867962
2023-04-24,117632.14414657324
2023-04-25,113600.68819527418
2023-04-26,116269.87095225308
2023-04-27,121630.37515896925
2023-04-28,116790.40907820495
2023-05-01,113024.76953789547
2023-05-02,114774.68110255539
2023-05-03,114682.03985838416
2023-05-04,114682.03985838416
2023-05-05,114682.03985838416
2023-05-08,114567.35781852576
2023-05-09,115422.58144131917
2023-05-10,119287.32135790616
2023-05-11,121441.61402890645
2023-05-12,119363.1002480636
2023-05-15,120380.70130742315
2023-05-16,122762.33890817521
2023-05-17,125035.71387217706
2023-05-18,127904.50030118682
2023-05-19,125847.63409212626
2023-05-22,124505.26164107521
2023-05-23,124483.60581001331
2023-05-24,126388.91423875905
2023-05-25,124494.43372554425
2023-05-26,130026.31748487386
2023-05-30,131704.28924314736
2023-05-31,130535.1221441934
2023-06-01,132905.92357013497
2023-06-02,134508.11643825108
2023-06-05,135644.80804989178
2023-06-06,137062.95939110027
2023-06-07,131238.787986672
2023-06-08,134508.11643825108
2023-06-09,133620.41732814448
2023-06-12,137019.6559882561
2023-06-13,137117.0907094754
2023-06-14,136857.27029241037
2023-06-15,137604.23953773305
2023-06-16,135850.48888930213
2023-06-20,136164.4323654627
2023-06-21,135136.0033905722
2023-06-22,140895.21556109446
2023-06-23,140007.52471026743
2023-06-26,137842.40412373623
2023-06-27,139845.1307551421
2023-06-28,139693.5729748273
2023-06-29,138459.46316052644
2023-06-30,141122.56049084628
2023-07-03,140971.00271053147
2023-07-05,141144.21632190814
2023-07-06,138957.43990431508
2023-07-07,140494.67353852512
2023-07-10,137625.88710951534
2023-07-11,139412.11324525953
2023-07-12,141598.8896628526
2023-07-13,145387.8506892822
