Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,99900.0
2023-01-11,103402.48410854516
2023-01-12,102961.84026374617
2023-01-13,104080.39771592827
2023-01-17,103142.63460811519
2023-01-18,102950.5590860233
2023-01-19,105131.15511617194
2023-01-20,110746.41782052713
2023-01-23,112746.23688870696
2023-01-24,110384.8638965895
2023-01-25,107582.89051567353
2023-01-26,110181.50719677478
2023-01-27,112271.68867233871
2023-01-30,109526.19940083788
2023-01-31,111672.88236821718
2023-02-01,113469.31866298195
2023-02-02,121728.42705373102
2023-02-03,118384.09671330827
2023-02-06,116260.0108661751
2023-02-07,121615.43276130041
2023-02-08,112271.68867233871
2023-02-09,107345.61206188935
2023-02-10,106741.6356235675
2023-02-13,106741.6356235675
2023-02-14,106741.6356235675
2023-02-15,106741.6356235675
2023-02-16,106741.6356235675
2023-02-17,106741.6356235675
2023-02-21,106741.6356235675
2023-02-22,106741.6356235675
2023-02-23,106741.6356235675
2023-02-24,106741.6356235675
2023-02-27,106741.6356235675
2023-02-28,106741.6356235675
2023-03-01,106741.6356235675
2023-03-02,106741.6356235675
2023-03-03,106741.6356235675
2023-03-06,106741.6356235675
2023-03-07,106741.6356235675
2023-03-08,106741.6356235675
2023-03-09,106741.6356235675
2023-03-10,106741.6356235675
2023-03-13,106741.6356235675
2023-03-14,106634.89398794396
2023-03-15,109063.30742401155
2023-03-16,113840.71595699732
2023-03-17,115315.93473910101
2023-03-20,114862.02462507239
2023-03-21,119060.67790372226
2023-03-22,117301.80349063796
2023-03-23,119832.3312080169
2023-03-24,119650.77239993055
2023-03-27,116269.14685148197
2023-03-28,114646.4044453262
2023-03-29,115054.93140423966
2023-03-30,114487.54157940175
2023-03-31,117710.31299113436
2023-04-03,118425.21771081582
2023-04-04,118833.72721131219
2023-04-05,118550.04539270602
2023-04-06,123032.41540679616
2023-04-10,120664.77521803607
2023-04-11,120664.77521803607
2023-04-12,120664.77521803607
2023-04-13,120664.77521803607
2023-04-14,120664.77521803607
2023-04-17,120664.77521803607
2023-04-18,120664.77521803607
2023-04-19,120664.77521803607
2023-04-20,120664.77521803607
2023-04-21,120664.77521803607
2023-04-24,120664.77521803607
2023-04-25,120664.77521803607
2023-04-26,120664.77521803607
2023-04-27,120664.77521803607
2023-04-28,120664.77521803607
2023-05-01,120664.77521803607
2023-05-02,120664.77521803607
2023-05-03,120664.77521803607
2023-05-04,120664.77521803607
2023-05-05,120544.11044281803
2023-05-08,123056.15406806085
2023-05-09,122576.58960918755
2023-05-10,127600.70321033396
2023-05-11,133104.3637032465
2023-05-12,134177.68760120866
2023-05-15,133035.85198524926
2023-05-16,136461.38518378822
2023-05-17,137980.02646517867
2023-05-18,140252.28786098486
2023-05-19,140172.35752332147
2023-05-22,142787.17750911365
2023-05-23,139943.97634644381
2023-05-24,138048.53818317587
2023-05-25,140994.48057218076
2023-05-26,142284.76702735436
2023-05-30,141211.42556228503
2023-05-31,140297.96233964965
2023-06-01,141268.52744416962
2023-06-02,142353.269961798
2023-06-05,143883.33864640826
2023-06-06,145367.72406880013
2023-06-07,139875.4821955538
2023-06-08,139324.956250453
2023-06-09,139324.956250453
2023-06-12,139324.956250453
2023-06-13,139324.956250453
2023-06-14,139324.956250453
2023-06-15,139324.956250453
2023-06-16,139324.956250453
2023-06-20,139324.956250453
2023-06-21,139324.956250453
2023-06-22,139324.956250453
2023-06-23,139324.956250453
2023-06-26,139324.956250453
2023-06-27,139324.956250453
2023-06-28,139324.956250453
2023-06-29,139324.956250453
2023-06-30,139324.956250453
2023-07-03,139324.956250453
2023-07-05,139324.956250453
2023-07-06,139324.956250453
2023-07-07,139324.956250453
2023-07-10,139324.956250453
2023-07-11,139324.956250453
2023-07-12,139324.956250453
2023-07-13,139324.956250453
2023-07-14,139324.956250453
2023-07-17,139324.956250453
