Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,99900.0
2023-01-12,99474.28179337346
2023-01-13,100554.9510871178
2023-01-17,99648.95221022249
2023-01-18,99463.38273553913
2023-01-19,101570.11687534154
2023-01-20,106995.17749164376
2023-01-23,108927.25800821478
2023-01-24,106645.87024518094
2023-01-25,103938.80625956463
2023-01-26,106449.40171266324
2023-01-27,108468.78385042353
2023-01-30,105816.29072525821
2023-01-31,107890.26051708711
2023-02-01,109625.84731071396
2023-02-02,117605.2003731579
2023-02-03,114374.15032742094
2023-02-06,112322.01223849595
2023-02-07,117496.03346182947
2023-02-08,108468.78385042353
2023-02-09,103709.5649822646
2023-02-10,103126.04663927185
2023-02-13,103126.04663927185
2023-02-14,103126.04663927185
2023-02-15,103126.04663927185
2023-02-16,103126.04663927185
2023-02-17,103126.04663927185
2023-02-21,103126.04663927185
2023-02-22,103126.04663927185
2023-02-23,103126.04663927185
2023-02-24,103126.04663927185
2023-02-27,103126.04663927185
2023-02-28,103126.04663927185
2023-03-01,103126.04663927185
2023-03-02,103126.04663927185
2023-03-03,103126.04663927185
2023-03-06,103022.92059263258
2023-03-07,101647.56475100727
2023-03-08,102069.92258022416
2023-03-09,99979.78490651859
2023-03-10,98149.54820829396
2023-03-13,98570.73074327335
2023-03-14,98570.73074327335
2023-03-15,98472.16001253009
2023-03-16,102785.63398115308
2023-03-17,104117.59413710212
2023-03-20,103707.7632743156
2023-03-21,107498.68496244073
2023-03-22,105910.61499887526
2023-03-23,108195.40294623784
2023-03-24,108031.47533003181
2023-03-27,104978.2397371052
2023-03-28,103513.08198925838
2023-03-29,103881.93685912916
2023-03-30,103369.64631026745
2023-03-31,106279.45410571736
2023-04-03,106924.93436496254
2023-04-04,107293.77347180463
2023-04-05,107037.64001964525
2023-04-06,111084.72668598703
2023-04-10,109056.06430926952
2023-04-11,107939.26161256412
2023-04-12,107211.80572294447
2023-04-13,110070.38367535682
2023-04-14,111545.77951029682
2023-04-17,108574.50378471607
2023-04-18,107068.37792546782
2023-04-19,106740.50693002716
2023-04-20,107769.91588875088
2023-04-21,107769.91588875088
2023-04-24,107769.91588875088
2023-04-25,107769.91588875088
2023-04-26,107769.91588875088
2023-04-27,107769.91588875088
2023-04-28,107662.14597286213
2023-05-01,107521.71546654758
2023-05-02,105636.07656809478
2023-05-03,105726.36379324135
2023-05-04,104899.20066688026
2023-05-05,104899.20066688026
2023-05-08,104794.30146621338
2023-05-09,104385.9056175356
2023-05-10,108664.42772239384
2023-05-11,113351.33071582697
2023-05-12,114265.37056199127
2023-05-15,113292.98631457258
2023-05-16,116210.16149698295
2023-05-17,117503.43247124928
2023-05-18,119438.48437926234
2023-05-19,119370.41591113225
2023-05-22,121597.18982541721
2023-05-23,119175.92709356619
2023-05-24,117561.77687250366
2023-05-25,120070.53376608192
2023-05-26,121169.33836293651
2023-05-30,120255.28355666935
2023-05-31,119477.38064676526
2023-06-01,120303.91137109944
2023-06-02,121227.67528413946
2023-06-05,122530.67780533296
2023-06-06,123794.77657897212
2023-06-07,119117.59765241471
2023-06-08,118767.53872493986
2023-06-09,118736.19279892322
2023-06-12,118736.19279892322
2023-06-13,118736.19279892322
2023-06-14,118736.19279892322
2023-06-15,118736.19279892322
2023-06-16,118736.19279892322
2023-06-20,118736.19279892322
2023-06-21,118736.19279892322
2023-06-22,118736.19279892322
2023-06-23,118736.19279892322
2023-06-26,118736.19279892322
2023-06-27,118736.19279892322
2023-06-28,118736.19279892322
2023-06-29,118736.19279892322
2023-06-30,118736.19279892322
2023-07-03,118736.19279892322
2023-07-05,118736.19279892322
2023-07-06,118736.19279892322
2023-07-07,118736.19279892322
2023-07-10,118736.19279892322
2023-07-11,118736.19279892322
2023-07-12,118736.19279892322
2023-07-13,118617.4566061243
