Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,100000.0
2023-01-17,100000.0
2023-01-18,100000.0
2023-01-19,100000.0
2023-01-20,99900.0
2023-01-23,100881.45391453723
2023-01-24,100656.87412755076
2023-01-25,100062.19289493375
2023-01-26,103135.45064631155
2023-01-27,103201.99883523503
2023-01-30,100935.5117006468
2023-01-31,103056.43810338092
2023-02-01,105110.82934159489
2023-02-02,110038.87283762636
2023-02-03,107439.6968560342
2023-02-06,106782.62221916277
2023-02-07,111269.84827156781
2023-02-08,110924.688558355
2023-02-09,109631.33925676419
2023-02-10,109415.08206351919
2023-02-13,112833.5320891182
2023-02-14,113187.02742047585
2023-02-15,112282.31329048448
2023-02-16,109293.06945292422
2023-02-17,107587.88200516361
2023-02-21,105235.4148905109
2023-02-22,105235.4148905109
2023-02-23,105235.4148905109
2023-02-24,105235.4148905109
2023-02-27,105235.4148905109
2023-02-28,105235.4148905109
2023-03-01,105235.4148905109
2023-03-02,105235.4148905109
2023-03-03,105235.4148905109
2023-03-06,105235.4148905109
2023-03-07,105235.4148905109
2023-03-08,105235.4148905109
2023-03-09,105235.4148905109
2023-03-10,105235.4148905109
2023-03-13,105235.4148905109
2023-03-14,105235.4148905109
2023-03-15,105235.4148905109
2023-03-16,105235.4148905109
2023-03-17,105130.17947562039
2023-03-20,102421.35900652202
2023-03-21,103004.48859472245
2023-03-22,102443.91409651369
2023-03-23,104464.28128725251
2023-03-24,105559.11405308571
2023-03-27,103982.69074148982
2023-03-28,103550.04203768924
2023-03-29,105536.54720952969
2023-03-30,106868.36709339415
2023-03-31,108467.35724854606
2023-04-03,108064.79766948684
2023-04-04,108045.99196652349
2023-04-05,106977.49893840334
2023-04-06,109708.93326531515
2023-04-10,108877.45086235496
2023-04-11,106302.96927322865
2023-04-12,106302.96927322865
2023-04-13,106302.96927322865
2023-04-14,106302.96927322865
2023-04-17,106302.96927322865
2023-04-18,106302.96927322865
2023-04-19,106302.96927322865
2023-04-20,106302.96927322865
2023-04-21,106302.96927322865
2023-04-24,106302.96927322865
2023-04-25,106302.96927322865
2023-04-26,106302.96927322865
2023-04-27,106302.96927322865
2023-04-28,106302.96927322865
2023-05-01,106302.96927322865
2023-05-02,106302.96927322865
2023-05-03,106302.96927322865
2023-05-04,106302.96927322865
2023-05-05,106302.96927322865
2023-05-08,106302.96927322865
2023-05-09,106196.66630395543
2023-05-10,108033.49059251181
2023-05-11,107272.45985896586
2023-05-12,106878.12829872145
2023-05-15,107047.64007877061
2023-05-16,107836.3248123896
2023-05-17,108855.55680570315
2023-05-18,110422.50874419147
2023-05-19,110360.11163734435
2023-05-22,111344.6545567093
2023-05-23,109292.36897332822
2023-05-24,108803.55561447552
2023-05-25,112987.90084475435
2023-05-26,115404.21637985898
2023-05-30,114821.79655417052
2023-05-31,113844.21306272548
2023-06-01,115296.72347687869
2023-06-02,116274.38261427937
2023-06-05,116461.5847413858
2023-06-06,115678.08715901145
2023-06-07,112107.34950127956
2023-06-08,112759.10424860487
2023-06-09,113289.50126993553
2023-06-12,115043.66614209536
2023-06-13,115889.56083131682
2023-06-14,116946.90757971346
2023-06-15,120677.106911958
2023-06-16,118676.80090667437
2023-06-20,117193.04871283725
2023-06-21,115520.84540151992
2023-06-22,115520.84540151992
2023-06-23,115520.84540151992
2023-06-26,115520.84540151992
2023-06-27,115520.84540151992
2023-06-28,115520.84540151992
2023-06-29,115405.3245561184
2023-06-30,117296.33609657433
2023-07-03,116417.99564275566
2023-07-05,116473.09793734644
2023-07-06,117547.76447389934
2023-07-07,116152.75948077677
2023-07-10,114296.21371694523
2023-07-11,114516.69805432273
2023-07-12,116145.88779945603
2023-07-13,118026.53813292053
2023-07-14,118915.19684572238
2023-07-17,119083.99325516538
