Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,99900.0
2023-01-17,100367.68663680258
2023-01-18,98471.83628793001
2023-01-19,96851.59808609058
2023-01-20,100313.41822054968
2023-01-23,101298.93370596677
2023-01-24,101073.42453583809
2023-01-25,100476.2823216697
2023-01-26,103562.2581986818
2023-01-27,103629.08178534146
2023-01-30,101353.2152005222
2023-01-31,103482.91867652294
2023-02-01,105545.81164416649
2023-02-02,110494.24896375072
2023-02-03,107884.3167588432
2023-02-06,107224.52293651487
2023-02-07,111730.31856859747
2023-02-08,111383.73047385873
2023-02-09,110085.02887830582
2023-02-10,109867.87674347912
2023-02-13,113300.47341098625
2023-02-14,113655.43161932951
2023-02-15,112746.97349228381
2023-02-16,109745.35920559328
2023-02-17,108033.11514561689
2023-02-21,105670.91276801683
2023-02-22,105670.91276801683
2023-02-23,105670.91276801683
2023-02-24,105670.91276801683
2023-02-27,105670.91276801683
2023-02-28,105670.91276801683
2023-03-01,105670.91276801683
2023-03-02,105670.91276801683
2023-03-03,105670.91276801683
2023-03-06,105670.91276801683
2023-03-07,105670.91276801683
2023-03-08,105565.24185524881
2023-03-09,104991.02953939699
2023-03-10,103335.51574060973
2023-03-13,103335.51574060973
2023-03-14,103232.18022486912
2023-03-15,105072.82739244621
2023-03-16,109332.12183921089
2023-03-17,110610.67193633132
2023-03-20,107760.63920799053
2023-03-21,108374.16765337632
2023-03-22,107784.37010688186
2023-03-23,109910.06011940165
2023-03-24,111061.9671026367
2023-03-27,109403.36400102064
2023-03-28,108948.16108898849
2023-03-29,111038.22383746144
2023-03-30,112439.47220388867
2023-03-31,114121.81857068
2023-04-03,113698.27334554822
2023-04-04,113678.48729123549
2023-04-05,112554.2931503222
2023-04-06,115428.11860897405
2023-04-10,114553.29058382082
2023-04-11,111956.55644953476
2023-04-12,112217.81893045036
2023-04-13,114731.45163662298
2023-04-14,113266.8013324074
2023-04-17,114319.76567779487
2023-04-18,114149.53141300177
2023-04-19,114181.20146618607
2023-04-20,113254.94206610371
2023-04-21,113116.39022077885
2023-04-24,111425.41911291258
2023-04-25,111425.41911291258
2023-04-26,111425.41911291258
2023-04-27,111313.99369379967
2023-04-28,112201.37174522875
2023-05-01,111580.58585284944
2023-05-02,111525.80492308107
2023-05-03,111156.98621016741
2023-05-04,111525.80492308107
2023-05-05,113439.29298906152
2023-05-08,112708.94523714548
2023-05-09,112106.41204939537
2023-05-10,114045.45390185669
2023-05-11,113242.07251554308
2023-05-12,112825.7967705935
2023-05-15,113004.74172360197
2023-05-16,113837.31602938191
2023-05-17,114913.26733551137
2023-05-18,116567.41869253213
2023-05-19,116501.54924470153
2023-05-22,117540.88106216866
2023-05-23,115374.38769414679
2023-05-24,114858.37232633906
2023-05-25,119275.57247836575
2023-05-26,121826.35372647454
2023-05-30,121211.5227789805
2023-05-31,120179.53767512662
2023-06-01,121712.87894338291
2023-06-02,122744.94390281955
2023-06-05,122942.56365425176
2023-06-06,122115.46515986059
2023-06-07,118346.01927130284
2023-06-08,119034.04356435993
2023-06-09,119474.36273011407
2023-06-12,119474.36273011407
2023-06-13,119354.88836738394
2023-06-14,120443.8518789826
2023-06-15,124285.59156368271
2023-06-16,122225.47244468163
2023-06-20,120697.35311978351
2023-06-21,119094.24185738192
2023-06-22,121290.03205358206
2023-06-23,119615.51261798038
2023-06-26,117323.31693607898
2023-06-27,119335.42273977118
2023-06-28,119335.42273977118
2023-06-29,119335.42273977118
2023-06-30,119216.08731703143
2023-07-03,118323.37134890165
2023-07-05,118379.37548493786
2023-07-06,119471.6307413416
2023-07-07,118053.7941523891
2023-07-10,116166.86290411228
2023-07-11,116274.56488153747
2023-07-12,116274.56488153747
2023-07-13,116158.29031665594
2023-07-14,117032.88240744329
