Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,99900.0
2023-01-12,100175.65033126756
2023-01-13,99235.18934668558
2023-01-17,106604.86462128063
2023-01-18,104407.74022562006
2023-01-19,103102.44027933913
2023-01-20,108169.59653493486
2023-01-23,116544.59387870193
2023-01-24,116658.09768398778
2023-01-25,117095.89454123701
2023-01-26,129938.10475736891
2023-01-27,144231.53071088225
2023-01-30,135118.76481825052
2023-01-31,140437.25004476588
2023-02-01,147077.25358145643
2023-02-02,152638.96478243783
2023-02-03,154025.3318062161
2023-02-06,157900.69192081675
2023-02-07,159562.72164684956
2023-02-08,163194.85578698423
2023-02-09,168083.65952369102
2023-02-10,159627.58273143962
2023-02-13,157803.40647942518
2023-02-14,169648.39143734524
2023-02-15,173694.01344536818
2023-02-16,163802.91453765574
2023-02-17,168886.28915714571
2023-02-21,160016.73686799302
2023-02-22,162846.241374673
2023-02-23,163827.2482689906
2023-02-24,159459.860255251
2023-02-27,159459.860255251
2023-02-28,159300.40039499576
2023-03-01,157023.6829248062
2023-03-02,147683.79770608962
2023-03-03,147683.79770608962
2023-03-06,147683.79770608962
2023-03-07,147683.79770608962
2023-03-08,147683.79770608962
2023-03-09,147683.79770608962
2023-03-10,147683.79770608962
2023-03-13,147683.79770608962
2023-03-14,147683.79770608962
2023-03-15,147683.79770608962
2023-03-16,147683.79770608962
2023-03-17,147683.79770608962
2023-03-20,147683.79770608962
2023-03-21,147536.11390838353
2023-03-22,142734.72523404926
2023-03-23,143533.71663502982
2023-03-24,142182.16281630416
2023-03-27,143227.5604125618
2023-03-28,141271.1685992886
2023-03-29,144773.26763772048
2023-03-30,145818.6652339781
2023-03-31,154913.66989733637
2023-04-03,145437.84426547983
2023-04-04,143802.53478749312
2023-04-05,138530.72289183253
2023-04-06,138049.04137076036
2023-04-10,138049.04137076036
2023-04-11,138049.04137076036
2023-04-12,138049.04137076036
2023-04-13,138049.04137076036
2023-04-14,138049.04137076036
2023-04-17,138049.04137076036
2023-04-18,138049.04137076036
2023-04-19,138049.04137076036
2023-04-20,138049.04137076036
2023-04-21,138049.04137076036
2023-04-24,138049.04137076036
2023-04-25,138049.04137076036
2023-04-26,138049.04137076036
2023-04-27,138049.04137076036
2023-04-28,138049.04137076036
2023-05-01,138049.04137076036
2023-05-02,138049.04137076036
2023-05-03,138049.04137076036
2023-05-04,138049.04137076036
2023-05-05,138049.04137076036
2023-05-08,137910.99232938958
2023-05-09,135791.63177403418
2023-05-10,135301.93043645396
2023-05-11,138143.80778883002
2023-05-12,134852.3709625266
2023-05-15,133543.83440439735
2023-05-16,133680.30694115552
2023-05-17,139572.76993791782
2023-05-18,142005.21743044243
2023-05-19,144614.27932337805
2023-05-22,151622.61753205897
2023-05-23,149133.98123008196
2023-05-24,146829.97055183878
2023-05-25,148090.35402299228
2023-05-26,155074.6095633969
2023-05-30,161488.89228849247
2023-05-31,163712.60698985297
2023-06-01,166594.6262058819
2023-06-02,171772.60812810028
2023-06-05,174694.7569582051
2023-06-06,177665.0711248626
2023-06-07,180282.16874027494
2023-06-08,188542.85469763266
2023-06-09,196201.44944892832
2023-06-12,200560.59615059767
2023-06-13,207689.34770066023
2023-06-14,206148.00793266753
2023-06-15,205433.51460854668
2023-06-16,209158.46396297787
2023-06-20,220325.2518046408
2023-06-21,208291.4389067223
2023-06-22,212425.79362185107
2023-06-23,205995.47620053284
2023-06-26,193512.1160782639
2023-06-27,200664.79395525221
2023-06-28,200664.79395525221
2023-06-29,200664.79395525221
2023-06-30,200464.12916129697
2023-07-03,214286.87949109226
2023-07-05,216323.9171198128
2023-07-06,211775.04801102323
2023-07-07,210159.19244515963
2023-07-10,206468.01847047562
2023-07-11,206605.8806938023
2023-07-12,208290.6323156698
2023-07-13,212816.52828231154
