Date,Equity
2023-01-03,99900.0
2023-01-04,99108.43590388456
2023-01-05,96757.02987545382
2023-01-06,100202.65921116043
2023-01-09,101692.66012594101
2023-01-10,104614.46406792525
2023-01-11,110690.87238330746
2023-01-12,110900.4043170176
2023-01-13,114217.99474761258
2023-01-17,111808.38195049888
2023-01-18,111121.57938068554
2023-01-19,109049.54630349965
2023-01-20,113205.2555878292
2023-01-23,113519.54904784141
2023-01-24,112122.67541051112
2023-01-25,113123.7714403367
2023-01-26,115498.46372868301
2023-01-27,119013.93408192431
2023-01-30,117046.6714121465
2023-01-31,120049.95062051725
2023-02-01,122401.365530054
2023-02-02,131434.5071772938
2023-02-03,120352.60983167769
2023-02-06,118944.09306438961
2023-02-07,118862.60891689711
2023-02-08,116464.63924974122
2023-02-09,114357.67678268199
2023-02-10,113624.31945524948
2023-02-13,115870.96395737815
2023-02-14,116057.20963117275
2023-02-15,117756.75136076946
2023-02-16,114252.91525637991
2023-02-17,113147.0488191463
2023-02-21,110097.20597205036
2023-02-22,111505.72273933847
2023-02-23,111540.64324810583
2023-02-24,108840.01436978951
2023-02-27,109142.67358094995
2023-02-28,109689.78523458788
2023-03-01,107291.80668632602
2023-03-02,107245.24304760084
2023-03-03,110469.70620074552
2023-03-06,109131.03045099216
2023-03-07,108898.22113847242
2023-03-08,109328.91925474453
2023-03-09,107384.93396377628
2023-03-10,105615.56009775083
2023-03-13,107594.46589748643
2023-03-14,110446.41994082995
2023-03-15,111982.9844943357
2023-03-16,116452.99611978345
2023-03-17,115184.1613875648
2023-03-20,113740.72411150935
2023-03-21,117116.51242968123
2023-03-22,114893.14530636216
2023-03-23,114904.78843631993
2023-03-24,114229.62899646434
2023-03-27,114124.86747016228
2023-03-28,113193.6124578714
2023-03-29,116697.44856226095
2023-03-30,118734.56113067946
2023-03-31,120236.20517541784
2023-04-03,119211.83176678268
2023-04-04,121004.48301161772
2023-04-05,117686.90146212875
2023-04-06,118804.4021482142
2023-04-10,118932.44993443185
2023-04-11,116313.30520360803
2023-04-12,113880.41502768475
2023-04-13,119200.1886368249
2023-04-14,119328.23642304256
2023-04-17,119595.9662443296
2023-04-18,119083.78398056503
2023-04-19,121411.91263018618
2023-04-20,120841.51471663272
2023-04-21,124508.31911600725
2023-04-24,123635.2708723993
2023-04-25,119398.07744057725
2023-04-26,122203.47672630164
2023-04-27,127837.54379545398
2023-04-28,122750.5794988336
2023-05-01,118792.76789936237
2023-05-02,120631.98278292254
2023-05-03,120655.26904283813
2023-05-04,121062.68978030063
2023-05-05,122995.04082241708
2023-05-08,123192.92962616943
2023-05-09,124112.54150850253
2023-05-10,128268.25079283204
2023-05-11,130584.73631249544
2023-05-12,128349.73494032458
2023-05-15,129443.94936649445
2023-05-16,132004.8962097413
2023-05-17,134449.42951562232
2023-05-18,137534.2017525916
2023-05-19,135322.47775923027
2023-05-22,133879.04048317485
2023-05-23,133855.75422325925
2023-05-24,135904.50992163556
2023-05-25,133867.39735321703
2023-05-26,139815.7667634876
2023-05-30,141620.07001938642
2023-05-31,140362.87841712552
2023-06-01,142912.17324930863
2023-06-02,144634.99235771495
2023-06-05,145857.26345120842
2023-06-06,147382.1848747564
2023-06-07,141119.5220044736
2023-06-08,144634.99235771495
2023-06-09,143680.4599666145
2023-06-12,147335.62123603126
2023-06-13,147440.39164343933
2023-06-14,147161.00981108847
2023-06-15,147964.2170371617
2023-06-16,146078.42963377037
2023-06-20,146416.00935369817
2023-06-21,145310.1517975705
2023-06-22,151502.9647692126
2023-06-23,150548.44125921815
2023-06-26,148220.31260959696
2023-06-27,150373.82095316937
2023-06-28,150210.85265818436
2023-06-29,148883.82891949476
2023-06-30,151747.4260927961
2023-07-03,151584.45779781108
2023-07-05,151770.71235271165
2023-07-06,149419.2974431749
2023-07-07,151072.2666529405
2023-07-10,147987.49441597125
2023-07-11,149908.20232812993
2023-07-12,152259.61723766665
2023-07-13,156333.8423745037
2023-07-14,156776.17473962758
2023-07-17,155472.42837974755
2023-07-18,154622.66639605517
2023-07-19,157567.747716849
2023-07-20,151281.80746775665
2023-07-21,151328.36222537578
2023-07-24,149931.4885880455
2023-07-25,150315.6319466984
2023-07-26,149174.8361195914
2023-07-27,149291.24965695728
2023-07-28,153900.95219858046
2023-07-31,155612.11041481697
2023-08-01,153295.63377625958
2023-08-02,149244.69489933812
2023-08-03,150059.53637426315
2023-08-04,162468.46633967484
2023-08-07,165553.2296955381
2023-08-08,162899.1644559469
2023-08-09,160466.27428002367
2023-08-10,161292.75000380047
2023-08-11,161118.14745996366
2023-08-14,163632.5306644854
2023-08-15,160256.73346520754
2023-08-16,157230.1768780272
2023-08-17,155961.33326470255
2023-08-18,155076.65077224284
2023-08-21,156776.17473962758
2023-08-22,156275.63560582077
2023-08-23,157754.00227174957
2023-08-24,153470.2363200964
2023-08-25,155123.20552986197
2023-08-28,154983.52349479255
2023-08-29,157043.92232312664
2023-08-30,157230.1768780272
