Date,Equity
2023-01-03,99900.0
2023-01-04,98734.19648707341
2023-01-05,96626.81162979247
2023-01-06,97904.68742379946
2023-01-09,98666.93759714288
2023-01-10,99115.33019667973
2023-01-11,102590.30385961343
2023-01-12,102153.12107506502
2023-01-13,103262.89275891874
2023-01-17,102332.49536074897
2023-01-18,102141.92850594582
2023-01-19,104305.39692990729
2023-01-20,109876.5542580681
2023-01-23,111860.66564221485
2023-01-24,109517.84017843864
2023-01-25,106737.87504478704
2023-01-26,109316.08075451628
2023-01-27,111389.84478976656
2023-01-30,108665.92010812246
2023-01-31,110795.74184124944
2023-02-01,112578.06793266998
2023-02-02,120772.30472225217
2023-02-03,117454.24260035253
2023-02-06,115346.84049720239
2023-02-07,120660.19794943335
2023-02-08,111389.84478976656
2023-02-09,106502.4603070956
2023-02-10,106009.23707053966
2023-02-13,106054.08495342797
2023-02-14,106132.54503541232
2023-02-15,108665.92010812246
2023-02-16,107062.94243358205
2023-02-17,105762.62976372901
2023-02-21,102892.96886430083
2023-02-22,102736.03145446292
2023-02-23,101884.0941382775
2023-02-24,99911.21843792303
2023-02-27,100740.71887826239
2023-02-28,100953.713985977
2023-03-01,101289.99981269502
2023-03-02,103128.36635612306
2023-03-03,104977.95996040873
2023-03-06,106636.96946402204
2023-03-07,105213.36607516558
2023-03-08,105650.5402367794
2023-03-09,103487.08043575253
2023-03-10,101592.63894857858
2023-03-13,102130.727313892
2023-03-14,105336.6654171036
2023-03-15,107735.5140870181
2023-03-16,112454.75996779736
2023-03-17,113912.0186704229
2023-03-20,113463.63469382066
2023-03-21,117611.17138725583
2023-03-22,115873.71042459279
2023-03-23,118373.43018353387
2023-03-24,118194.08176665373
2023-03-27,114853.62588358107
2023-03-28,113250.63958610603
2023-03-29,113654.19292568923
2023-03-30,113093.71079920277
2023-03-31,116277.24651830674
2023-04-03,116983.44761670806
2023-04-04,117386.98371042199
2023-04-05,117106.75558158067
2023-04-06,121534.5548955956
2023-04-10,119315.05464256123
2023-04-11,118093.19343175794
2023-04-12,117297.30519051463
2023-04-13,120424.79183467651
2023-04-14,122038.97932420534
2023-04-17,118788.19333810544
2023-04-18,117140.38502654596
2023-04-19,116781.67094691648
2023-04-20,118025.94316476202
2023-04-21,118160.46094462308
2023-04-24,118788.19333810544
2023-04-25,116411.74705229858
2023-04-26,116254.81826539528
2023-04-27,120604.13162862204
2023-04-28,120323.90349978072
2023-05-01,120166.95746700821
2023-05-02,118059.55536385805
2023-05-03,118160.46094462308
2023-05-04,117353.37151132595
2023-05-05,118339.80073856859
2023-05-08,120805.90829841362
2023-05-09,120335.11331476914
2023-05-10,125267.35430326301
2023-05-11,130670.37302953213
2023-05-12,131724.0697696399
2023-05-15,130603.11413960159
2023-05-16,133966.0068985203
2023-05-17,135456.87780024193
2023-05-18,137687.5878682647
2023-05-19,137609.11916334578
2023-05-22,140176.12368102116
2023-05-23,137384.9142406427
2023-05-24,135524.13669017245
2023-05-25,138416.20859664286
2023-05-26,139682.90044446522
2023-05-30,138629.1864584883
2023-05-31,137732.42712821838
2023-06-01,138685.24415636496
2023-06-02,139750.15071146117
2023-06-05,141252.2400511058
2023-06-06,142709.48150786213
2023-06-07,137317.67259658143
2023-06-08,136914.12787993284
2023-06-09,137015.00759189404
2023-06-12,138595.57425939222
2023-06-13,138808.543498303
2023-06-14,138629.1864584883
2023-06-15,140220.94569510565
2023-06-16,138472.24904865035
2023-06-20,137990.24425001745
2023-06-21,135131.78454264312
2023-06-22,138046.29332495958
2023-06-23,137138.30693383206
2023-06-26,132654.46716780963
2023-06-27,132643.26597575584
2023-06-28,134717.0386339407
2023-06-29,133506.4131069297
2023-06-30,134178.98476036574
2023-07-03,134403.17243719954
2023-07-05,136476.94509538444
2023-07-06,134638.5785519564
2023-07-07,133932.36883062046
2023-07-10,130535.84662673646
2023-07-11,131309.32386093753
2023-07-12,133315.8376291919
2023-07-13,139604.4317395463
2023-07-14,140590.86958972353
2023-07-17,139727.74832735353
2023-07-18,138730.08341631867
2023-07-19,136790.8112921256
2023-07-20,133618.49401094465
2023-07-21,134537.68159412598
2023-07-24,136230.33778857376
2023-07-25,136992.5879619172
2023-07-26,144906.58799972344
2023-07-27,145052.2638569653
2023-07-28,148616.9505315448
2023-07-31,148773.8879413827
2023-08-01,147462.37407947585
2023-08-02,143908.91446575397
2023-08-03,143987.39179360753
2023-08-04,143606.2494610666
2023-08-07,147439.9372036298
2023-08-08,147294.1923629111
2023-08-09,145343.73629253346
2023-08-10,145377.40022923713
2023-08-11,145231.65538851844
2023-08-14,147215.70641212293
2023-08-15,145478.2540723945
2023-08-16,144267.62854538346
2023-08-17,145635.1914822324
2023-08-18,142877.64597855764
2023-08-21,143897.69602783094
2023-08-22,144693.60151494344
2023-08-23,148381.52717091874
2023-08-24,145478.2540723945
2023-08-25,145590.36946814792
2023-08-28,146857.00957836266
2023-08-29,150847.66922250218
2023-08-30,152316.13774011616
2023-08-31,152641.23962064958
2023-09-01,152069.52181037088
2023-09-05,152192.8125293743
2023-09-06,150724.36125762956
2023-09-07,151621.11196496483
2023-09-08,152876.611243668
2023-09-11,153481.92400717354
2023-09-12,151710.80773074142
2023-09-13,153246.51789241668
2023-09-14,154804.6476840688
2023-09-15,154019.97788074854
2023-09-18,154927.97289481066
2023-09-19,154737.38879413827
2023-09-20,149917.27182433245
2023-09-21,146218.0846157611
2023-09-22,146005.08088511188
2023-09-25,146969.15946585452
2023-09-26,144121.9181964032
2023-09-27,146330.2000115145
2023-09-28,148314.28552685742
2023-09-29,146688.89684527478
2023-10-02,150399.29386883456
2023-10-03,148448.82055258768
2023-10-04,151598.7095808572
2023-10-05,151408.12548018483
2023-10-06,154221.77179640933
2023-10-09,155163.32727195986
2023-10-10,154759.82566998433
2023-10-11,157551.00061862436
2023-10-12,155779.86709632303
2023-10-13,153975.13862079484
2023-10-16,155925.62918291093
2023-10-17,156620.63771219304
2023-10-18,154647.72752010013
2023-10-19,154412.30415947406
2023-10-20,152002.28016630956
2023-10-23,153011.14626939828
2023-10-24,155600.51005650827
2023-10-25,140803.85607450354
2023-10-26,137071.04804390154
2023-10-27,136947.74870196352
2023-10-30,139514.76184257353
2023-10-31,139088.79749594812
2023-11-01,141745.47191059633
2023-11-02,142911.25817765368
2023-11-03,144716.0211449203
2023-11-06,146005.08088511188
2023-11-07,146812.2048101474
2023-11-08,147787.44146827084
2023-11-09,145993.92280773108
2023-11-10,148628.16034653323
2023-11-13,148067.63510537375
2023-11-14,149782.7540444714
2023-11-15,150903.68380570586
2023-11-16,153493.13382216194
2023-11-17,151677.16103990693
2023-11-20,152730.88364881853
2023-11-21,153537.99032798485
2023-11-22,155241.81322274802
2023-11-24,153224.09826243983
2023-11-27,152910.25793450247
2023-11-28,153795.79882684932
2023-11-29,151318.48145201587
2023-11-30,148560.8842107335
2023-12-01,147809.8610982477
2023-12-04,144906.58799972344
2023-12-05,146834.64168599347
2023-12-06,145747.30687798583
2023-12-07,153493.13382216194
2023-12-08,151318.48145201587
2023-12-11,149412.8301498535
2023-12-12,148549.69164161428
2023-12-13,148605.7579624256
2023-12-14,147899.52237228584
2023-12-15,148639.35291565242
2023-12-18,152226.44197433957
2023-12-19,153179.27624835537
2023-12-20,155073.6659979217
2023-12-21,157405.27302377488
2023-12-22,158604.6887357975
2023-12-26,158638.3526725012
2023-12-27,157349.241194702
2023-12-28,157192.30378486408
2023-12-29,156586.97377548934
2024-01-02,154883.11638898775
2024-01-03,155723.83526725014
2024-01-04,152887.786566918
2024-01-05,152147.97326942062
2024-01-08,155634.15674734276
2024-01-09,157999.3932181612
2024-01-10,159490.2641198828
2024-01-11,159266.08506598359
2024-01-12,159905.01002858515
2024-01-16,159725.67023463963
2024-01-17,158582.3035975591
2024-01-18,160835.40742675491
2024-01-19,164086.21928165862
2024-01-22,163649.05374297942
2024-01-23,164826.032579156
2024-01-24,166686.8273754955
2024-01-25,170240.26974334815
2024-01-26,170599.00106884685
2024-01-29,172078.6449097108
2024-01-30,169780.6673288229
2024-01-31,157046.5589441454
2024-02-01,158234.79933291805
2024-02-02,159602.37951563622
2024-02-05,161059.5692347849
2024-02-06,161530.43320190624
2024-02-07,163144.59482263125
2024-02-08,163559.35797720283
2024-02-09,167023.13907101733
2024-02-12,165375.31351358863
2024-02-13,162696.2022230944
2024-02-14,163593.00466803732
2024-02-15,160039.52780844623
2024-02-16,157517.40566539753
2024-02-20,158189.96007296437
2024-02-21,159792.91187870095
2024-02-22,161519.2061410486
2024-02-23,161373.49579206834
2024-02-26,154210.5447355517
2024-02-27,155678.99600729643
2024-02-28,152876.611243668
2024-02-29,155208.20102365196
2024-03-01,153728.50544518037
2024-03-04,149480.089039784
2024-03-05,148717.83886644058
2024-03-06,147294.1923629111
2024-03-07,150634.68273772218
2024-03-08,151789.27643566034
2024-03-11,154322.60839369748
2024-03-12,155253.02303773645
2024-03-13,156699.07192537354
2024-03-14,160409.45170306411
2024-03-15,158257.2017170257
2024-03-18,165543.46073841496
2024-03-19,164814.8227641676
2024-03-20,166731.6666354492
2024-03-21,165453.816710246
2024-03-22,169007.24183222945
2024-03-25,168222.5720289092
2024-03-26,168895.12643647604
2024-03-27,169119.32273624447
2024-03-28,169186.5643803058
2024-04-01,174298.171031549
2024-04-02,173255.6409917566
2024-04-03,173659.21157720897
2024-04-04,168738.20627250735
2024-04-05,170946.4880876187
2024-04-08,173580.74287229002
2024-04-09,175542.4087576561
2024-04-10,175026.7400223195
2024-04-11,178692.3150317948
2024-04-12,176809.10060547848
2024-04-15,173591.95268727845
2024-04-16,173076.3011978111
2024-04-17,174275.71690983372
2024-04-18,174881.04691920846
2024-04-19,172728.81417903924
2024-04-22,175183.71192389584
2024-04-23,177403.18630812637
2024-04-24,178378.47470385744
2024-04-25,174869.83710422003
2024-04-26,192749.1643392368
2024-04-29,186247.57512116779
2024-04-30,182469.9536994159
2024-05-01,183680.57922642695
2024-05-02,186774.43642562357
2024-05-03,187469.42770903648
2024-05-06,188433.4890439099
2024-05-07,191964.4772900473
2024-05-08,189868.3281165586
2024-05-09,190518.4628941486
2024-05-10,189050.01162240386
2024-05-13,189599.2753109673
2024-05-14,190944.4013719702
2024-05-15,193376.89673271915
2024-05-16,195248.90134404707
2024-05-17,197356.31207013183
2024-05-20,198320.33891326684
2024-05-21,199362.8344613208
2024-05-22,197715.04339563052
2024-05-23,194542.71749151495
2024-05-24,196156.9136039784
2024-05-28,197737.42853386895
2024-05-29,197176.9722761863
2024-05-30,192928.53862492074
2024-05-31,193365.68691773075
2024-06-03,194116.72727608576
2024-06-04,194811.73580536785
2024-06-05,196627.69134175367
2024-06-06,198107.35242848683
2024-06-07,195562.8106554613
2024-06-10,196404.44356479196
2024-06-11,198211.2760363641
2024-06-12,199524.2902888925
2024-06-13,196572.79774004882
2024-06-14,198402.06708746703
2024-06-17,198907.07787563003
2024-06-18,196494.2255599146
2024-06-20,197852.16530174273
2024-06-21,201589.27617671338
2024-06-24,201129.1391402425
2024-06-25,206527.1306956361
2024-06-26,206358.77652037918
2024-06-27,208075.8442426979
2024-06-28,204417.30554786147
2024-07-01,205359.99925078006
2024-07-02,207885.0359457258
2024-07-03,208535.98127916877
2024-07-05,213900.30889785863
2024-07-08,212138.36742384778
2024-07-09,212082.24936542884
2024-07-10,214551.1852478248
2024-07-11,208255.40823294318
2024-07-12,207694.26214049204
2024-07-15,209332.72319093812
2024-07-16,206403.6675179405
2024-07-17,203149.19953876364
2024-07-18,199412.088663793
2024-07-19,199378.4247270893
2024-07-22,203878.63082299478
2024-07-23,204013.28656980954
2024-07-24,193733.52406217388
2024-07-25,187729.49541676784
2024-07-26,187415.25843383858
2024-07-29,190254.54935758276
2024-07-30,191107.4783112479
2024-07-31,192510.25731302972
2024-08-01,191634.9087293877
2024-08-02,187033.71082337116
2024-08-05,178717.83891823
2024-08-06,177640.47222262743
2024-08-07,178369.95524446625
2024-08-08,181837.68564233053
2024-08-09,183678.19929647556
2024-08-12,182129.4512576753
2024-08-13,184228.06659046144
2024-08-14,179974.7523582086
2024-08-15,181018.45511710749
2024-08-16,182881.3884012294
2024-08-19,187044.90339249035
2024-08-20,187617.25929992992
2024-08-21,186124.68105715627
2024-08-22,183824.08210414796
2024-08-23,185866.56213264595
2024-08-26,186472.56473091998
2024-08-27,184811.61506702023
2024-08-28,182757.92522353385
2024-08-29,181557.14708784336
2024-08-30,183352.73525268867
2024-09-03,176596.803955467
2024-09-04,175575.5553182834
2024-09-05,176462.14820865224
2024-09-06,169369.54305265524
2024-09-09,167110.817070096
2024-09-10,167054.6472740694
2024-09-11,169863.98212299068
2024-09-12,173830.77348413947
2024-09-13,176943.53215599348
2024-09-16,177617.74216700476
2024-09-17,179033.66252112685
2024-09-18,179584.3058792273
2024-09-19,182202.57374313823
2024-09-20,183832.03244985515
2024-09-23,181876.71304435944
2024-09-24,182371.15211469488
