Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,99900.0
2023-01-10,100353.99626039501
2023-01-11,103872.39743287783
2023-01-12,103429.7510789927
2023-01-13,104553.39182347037
2023-01-17,103611.36704454535
2023-01-18,103418.41863387746
2023-01-19,105608.92439819146
2023-01-20,111249.70570383707
2023-01-23,113258.61296399307
2023-01-24,110886.50869552106
2023-01-25,108071.80172665052
2023-01-26,110682.22783973796
2023-01-27,112781.908159881
2023-01-30,110023.9419928625
2023-01-31,112180.38057625224
2023-02-01,113984.98078853314
2023-02-02,122281.62275609499
2023-02-03,118922.09408265846
2023-02-06,116788.35531228848
2023-02-07,122168.11496029892
2023-02-08,112781.908159881
2023-02-09,107725.61151428656
2023-02-10,107725.61151428656
2023-02-13,107725.61151428656
2023-02-14,107725.61151428656
2023-02-15,107725.61151428656
2023-02-16,107725.61151428656
2023-02-17,107725.61151428656
2023-02-21,107725.61151428656
2023-02-22,107725.61151428656
2023-02-23,107725.61151428656
2023-02-24,107725.61151428656
2023-02-27,107725.61151428656
2023-02-28,107725.61151428656
2023-03-01,107725.61151428656
2023-03-02,107725.61151428656
2023-03-03,107725.61151428656
2023-03-06,107725.61151428656
2023-03-07,107617.88590277228
2023-03-08,108065.05113281145
2023-03-09,105852.1481651808
2023-03-10,103810.49717675378
2023-03-13,103810.49717675378
2023-03-14,103706.68667957703
2023-03-15,106068.41558391872
2023-03-16,110714.63589081663
2023-03-17,112149.34498366527
2023-03-20,111707.89929721315
2023-03-21,115791.2570402644
2023-03-22,114080.68153496049
2023-03-23,116541.7206498854
2023-03-24,116365.14746900657
2023-03-27,113076.38177416509
2023-03-28,111498.20007413089
2023-03-29,111895.50883249087
2023-03-30,111343.69960204986
2023-03-31,114477.97331431368
2023-04-03,115173.24666243684
2023-04-04,115570.53844179002
2023-04-05,115294.64656082459
2023-04-06,119653.93014285484
2023-04-10,117468.77441939195
2023-04-11,116265.82027941658
2023-04-12,115482.24760659892
2023-04-13,118561.33954686833
2023-04-14,120150.54911179801
2023-04-17,116950.06576264424
2023-04-18,115212.42786839725
2023-04-19,115212.42786839725
2023-04-20,115212.42786839725
2023-04-21,115212.42786839725
2023-04-24,115212.42786839725
2023-04-25,115212.42786839725
2023-04-26,115212.42786839725
2023-04-27,115212.42786839725
2023-04-28,115212.42786839725
2023-05-01,115212.42786839725
2023-05-02,115212.42786839725
2023-05-03,115212.42786839725
2023-05-04,115212.42786839725
2023-05-05,115212.42786839725
2023-05-08,115212.42786839725
2023-05-09,115212.42786839725
2023-05-10,115097.21544052886
2023-05-11,120061.57677653267
2023-05-12,121029.72655010865
2023-05-15,119999.77846533112
2023-05-16,123089.6464882449
2023-05-17,124459.4773617704
2023-05-18,126509.08173565225
2023-05-19,126436.98370591716
2023-05-22,128795.57963580661
2023-05-23,126230.98141238498
2023-05-24,124521.27567297193
2023-05-25,127178.54759461462
2023-05-26,128342.39994318916
2023-05-30,127374.23432389238
2023-05-31,126550.2806097866
2023-06-01,127425.74083942072
2023-06-02,128275.78614119875
2023-06-05,128275.78614119875
2023-06-06,128275.78614119875
2023-06-07,128275.78614119875
2023-06-08,128275.78614119875
2023-06-09,128275.78614119875
2023-06-12,128275.78614119875
2023-06-13,128275.78614119875
2023-06-14,128275.78614119875
2023-06-15,128275.78614119875
2023-06-16,128275.78614119875
2023-06-20,128275.78614119875
2023-06-21,128275.78614119875
2023-06-22,128275.78614119875
2023-06-23,128275.78614119875
2023-06-26,128275.78614119875
2023-06-27,128275.78614119875
2023-06-28,128275.78614119875
2023-06-29,128275.78614119875
2023-06-30,128275.78614119875
2023-07-03,128275.78614119875
2023-07-05,128275.78614119875
2023-07-06,128275.78614119875
2023-07-07,128275.78614119875
2023-07-10,128275.78614119875
2023-07-11,128275.78614119875
2023-07-12,128275.78614119875
2023-07-13,128275.78614119875
