Date,Equity
2023-01-03,99900.0
2023-01-04,95530.05330282963
2023-01-05,92698.75419971146
2023-01-06,93791.24087400404
2023-01-09,94704.43783917227
2023-01-10,95425.80826654985
2023-01-11,98311.30956485488
2023-01-12,99453.83908024039
2023-01-13,99754.05694920829
2023-01-17,100221.06034662559
2023-01-18,98327.97962922207
2023-01-19,96710.10841943655
2023-01-20,100166.87121063523
2023-01-23,101150.9469649558
2023-01-24,100925.76723923422
2023-01-25,100329.49738499067
2023-01-26,103410.96498638554
2023-01-27,103477.69095104218
2023-01-30,101205.14916014268
2023-01-31,103331.74137065223
2023-02-01,105391.62067570163
2023-02-02,110332.82886576564
2023-02-03,107726.70948836906
2023-02-06,107067.8795531611
2023-02-07,111567.09270715772
2023-02-08,111221.01093998567
2023-02-09,109924.20660642399
2023-02-10,109707.3717072834
2023-02-13,113134.95372384165
2023-02-14,113489.39337679122
2023-02-15,112582.26240840997
2023-02-16,109585.03315421492
2023-02-17,107875.29049685929
2023-02-21,105622.1612015977
2023-02-22,105137.24058654485
2023-02-23,106500.00039216806
2023-02-24,104179.96230349845
2023-02-27,104572.91352700727
2023-02-28,104263.58033886328
2023-03-01,102946.8150234095
2023-03-02,104970.04369340483
2023-03-03,106717.38377756279
2023-03-06,107377.85264193494
2023-03-07,106240.82104828746
2023-03-08,106052.7163815071
2023-03-09,105475.85249330323
2023-03-10,103916.61054632737
2023-03-13,106144.69230264942
2023-03-14,109016.52715178858
2023-03-15,110960.31019970962
2023-03-16,115458.26314124135
2023-03-17,116808.45347020695
2023-03-20,113798.72656493522
2023-03-21,114446.63248224802
2023-03-22,113823.78716307126
2023-03-23,116068.58469094837
2023-03-24,117285.03578827709
2023-03-27,115533.49717243557
2023-03-28,115052.7881482628
2023-03-29,117259.96213094452
2023-03-30,118739.72580785477
2023-03-31,120516.33808102885
2023-04-03,120069.06059996615
2023-04-04,120048.16588552235
2023-04-05,118860.98044761148
2023-04-06,121895.8332470019
2023-04-10,120971.9865070656
2023-04-11,118229.75112426413
2023-04-12,118505.65276929805
2023-04-13,121160.13035143552
2023-04-14,119613.4121739294
2023-04-17,120725.37663984258
2023-04-18,120545.6037404467
2023-04-19,120579.04834275332
2023-04-20,119600.88840445965
2023-04-21,119454.57316656692
2023-04-24,117786.63952689368
2023-04-25,115132.21418154231
2023-04-26,123471.80402472932
2023-04-27,127426.27238438117
2023-04-28,128442.09504545979
2023-05-01,127731.45274802946
2023-05-02,127668.742486305
2023-05-03,127246.53866257487
2023-05-04,127668.742486305
2023-05-05,129859.20069743168
2023-05-08,129023.13787655241
2023-05-09,128333.3902935659
2023-05-10,130553.1011049139
2023-05-11,129633.43330786638
2023-05-12,129156.90322658235
2023-05-15,129361.7497833108
2023-05-16,130314.8360642719
2023-05-17,131546.52724394808
2023-05-18,133440.11074041788
2023-05-19,133364.7069396688
2023-05-22,134554.47809849208
2023-05-23,132074.3930267812
2023-05-24,131483.68639025834
2023-05-25,136540.25952244518
2023-05-26,139460.2566883773
2023-05-30,138756.43129153427
2023-05-31,137575.07025527462
2023-06-01,139330.35686051947
