Date,Equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,100000.0
2023-01-17,100000.0
2023-01-18,99900.0
2023-01-19,98256.26304468948
2023-01-20,101768.29089416761
2023-01-23,102768.09957758948
2023-01-24,102539.31978688888
2023-01-25,101933.51705745675
2023-01-26,105064.24967842746
2023-01-27,105132.04242566312
2023-01-30,102823.16833136219
2023-01-31,104983.75947369018
2023-02-01,107076.57113676313
2023-02-02,112096.77698304184
2023-02-03,109448.99222448524
2023-02-06,108779.62923365129
2023-02-07,113350.77364014821
2023-02-08,112999.15888440057
2023-02-09,111681.62186786342
2023-02-10,111461.32031681124
2023-02-13,114943.70086348127
2023-02-14,115303.80712685798
2023-02-15,114382.17338554643
2023-02-16,111337.02587389045
2023-02-17,109599.94867456327
2023-02-21,107310.79743352895
2023-02-22,106818.12414128342
2023-02-23,108094.4684231025
2023-02-24,108094.4684231025
2023-02-27,108094.4684231025
2023-02-28,108094.4684231025
2023-03-01,108094.4684231025
2023-03-02,108094.4684231025
2023-03-03,108094.4684231025
2023-03-06,108094.4684231025
2023-03-07,108094.4684231025
2023-03-08,108094.4684231025
2023-03-09,108094.4684231025
2023-03-10,108094.4684231025
2023-03-13,108094.4684231025
2023-03-14,108094.4684231025
2023-03-15,107986.3739546794
2023-03-16,112363.773652829
2023-03-17,113677.77644816412
2023-03-20,110748.71564697158
2023-03-21,111379.25651828373
2023-03-22,110773.10457592263
2023-03-23,112957.73748530784
2023-03-24,114141.58550138939
2023-03-27,112436.99127642823
2023-03-28,111969.1661202595
2023-03-29,114117.18386325182
2023-03-30,115557.28720733746
2023-03-31,117286.28307043617
2023-04-03,116850.9934317842
2023-04-04,116830.65873333623
2023-04-05,115675.29200426837
2023-04-06,118628.80528034459
2023-04-10,117729.71929765388
2023-04-11,115060.98076415501
2023-04-12,115329.48774797401
2023-04-13,117912.82054799137
2023-04-14,116407.5572045665
2023-04-17,117489.71901922164
2023-04-18,117314.76435744987
2023-04-19,117347.31258415316
2023-04-20,116395.36909468424
2023-04-21,116252.97536880229
2023-04-24,114629.7453560061
2023-04-25,111934.41692934213
2023-04-26,111934.41692934213
2023-04-27,111822.48251241277
2023-04-28,112713.91415856128
2023-05-01,112090.29248000134
2023-05-02,112035.2613077492
2023-05-03,111664.75780943355
2023-05-04,112035.2613077492
2023-05-05,113957.49029887134
2023-05-08,113223.80627580713
2023-05-09,112618.52068129621
2023-05-10,114566.420190087
2023-05-11,113759.3689107216
2023-05-12,113341.1915938785
2023-05-15,113520.95397787413
2023-05-16,114357.33153166543
2023-05-17,115438.19784614546
2023-05-18,117099.90546308852
2023-05-19,117033.73511977658
2023-05-22,118077.81466563324
2023-05-23,115901.42462948653
2023-05-24,115383.052073368
2023-05-25,119820.43025344264
2023-05-26,122382.86361913655
2023-05-30,121765.22408799762
2023-05-31,120728.5248159707
2023-06-01,122268.87047661426
2023-06-02,123305.6499690089
2023-06-05,123504.1724589972
2023-06-06,122673.2957304206
2023-06-07,118886.63079308835
2023-06-08,119577.7980212639
2023-06-09,120140.26885952032
2023-06-12,122000.51042650422
2023-06-13,122897.55749839274
2023-06-14,124018.84341814833
2023-06-15,127974.61289062274
2023-06-16,125853.34570714842
2023-06-20,124279.86903463876
2023-06-21,122629.17452817764
2023-06-22,124890.1397520005
2023-06-23,123165.91754850278
2023-06-26,120805.68534965951
2023-06-27,123000.51461032803
2023-06-28,123471.07582728872
2023-06-29,123176.94211903725
2023-06-30,125195.29803078642
2023-07-03,124257.80843351728
2023-07-05,124316.62142310453
2023-07-06,125463.65808089646
2023-07-07,123974.71075585282
2023-07-10,121993.14161272702
2023-07-11,122228.47379144374
2023-07-12,123843.40894591098
2023-07-13,123843.40894591098
2023-07-14,123843.40894591098
