Date,Equity
2023-01-03,99900.0
2023-01-04,105019.7604003082
2023-01-05,101970.08131127908
2023-01-06,104483.75500030596
2023-01-09,110684.76256738092
2023-01-10,109834.55148158115
2023-01-11,113873.06471512256
2023-01-12,114187.27040092011
2023-01-13,113115.26665157726
2023-01-17,121515.74222188156
2023-01-18,119011.304899617
2023-01-19,117523.43197413658
2023-01-20,123299.33399831165
2023-01-23,132845.74655602704
2023-01-24,132975.1261973156
2023-01-25,133474.1579276221
2023-01-26,148112.61473469716
2023-01-27,164405.26957559038
2023-01-30,154017.89640016083
2023-01-31,160080.28090852327
2023-02-01,167649.025177214
2023-02-02,173988.65580300157
2023-02-03,175568.93470007478
2023-02-06,179986.343440058
2023-02-07,181880.84212425214
2023-02-08,186021.0047468103
2023-02-09,191593.60799295187
2023-02-10,181954.77536232036
2023-02-13,179875.45063361732
2023-02-14,193377.19976938196
2023-02-15,197988.68502195977
2023-02-16,186714.1129897113
2023-02-17,192508.5018487343
2023-02-21,182398.3606894065
2023-02-22,185623.62945618224
2023-02-23,186741.85029264478
2023-02-24,181945.53899555808
2023-02-27,191880.09047713922
2023-02-28,190105.73506747143
2023-03-01,187388.7484990878
2023-03-02,176419.1457858746
2023-03-03,182786.49961327226
2023-03-06,179108.4091526481
2023-03-07,173471.13723784717
2023-03-08,168194.26694397858
2023-03-09,159803.0347910982
2023-03-10,160283.5937878801
2023-03-13,161244.6976801206
2023-03-14,169358.68371557584
2023-03-15,166761.8404217185
2023-03-16,170162.69886624088
2023-03-17,166466.12157076882
2023-03-20,169349.44734881358
2023-03-21,182592.43720200102
2023-03-22,176650.1818668416
2023-03-23,177639.02306201553
2023-03-24,175966.32409202613
2023-03-27,177260.12050491205
2023-03-28,174838.8668888013
2023-03-29,179173.10602395402
2023-03-30,180466.90243683994
2023-03-31,191722.98763424045
2023-04-03,179995.59390814367
2023-04-04,177971.71558266095
2023-04-05,171447.25891236452
2023-04-06,171022.14631880296
2023-04-10,170513.86412041087
2023-04-11,172620.91205072412
2023-04-12,166845.01002654902
2023-04-13,171798.42416653453
2023-04-14,170966.6999155826
2023-04-17,172851.9481316911
2023-04-18,170329.03807590195
2023-04-19,166891.22006300712
2023-04-20,150626.288423724
2023-04-21,152557.74667629055
2023-04-24,150219.66266501034
2023-04-25,148482.26682371504
2023-04-26,142087.18979470717
2023-04-27,148038.6814966289
2023-04-28,151846.15159854168
2023-05-01,149554.2776237195
2023-05-02,148149.57430306962
2023-05-03,148426.82042049468
2023-05-04,148972.0621872592
2023-05-05,157159.98146078276
2023-05-08,158758.7471927039
2023-05-09,156319.00674174528
2023-05-10,155755.27814013284
2023-05-11,159026.75694336666
2023-05-12,155237.7595749785
2023-05-15,153731.41391597348
2023-05-16,153888.51675887223
2023-05-17,160671.73271174586
2023-05-18,163471.8888849601
2023-05-19,166475.35793753114
