Ticker,Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
AAPL,B&H,12.738,0.526,0.853,0.704,-14.932,18.395
AAPL,MACD,9.607,0.531,1.501,0.432,-6.4,10.861
AAPL,RSI,11.221,0.537,0.933,0.532,-12.024,14.229
AMZN,B&H,44.476,1.237,2.548,1.947,-17.453,30.173
AMZN,MACD,-20.546,-1.497,-1.06,-1.354,-19.377,17.055
AMZN,RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
GOOGL,B&H,23.312,0.765,1.783,0.961,-13.077,26.942
GOOGL,MACD,-5.709,-0.746,-0.794,-0.775,-7.194,12.247
GOOGL,RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
MSFT,B&H,24.5,0.936,1.886,1.429,-12.988,21.634
MSFT,MACD,8.359,0.331,0.842,0.338,-9.928,16.019
MSFT,RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
TSLA,B&H,36.468,0.801,1.115,1.255,-32.72,48.256
TSLA,MACD,10.529,0.348,0.618,0.432,-17.049,29.261
TSLA,RSI,24.141,0.647,0.847,0.848,-28.503,38.617
