Ticker,전략,ARR(%),SR,MDD(%)
AAPL,CWT-FinAgent(제안),36.22,1.363,-13.257
AAPL,FinAgent(원본),-4.16,-0.325,-15.825
AAPL,B&H,-28.39,-0.87,-30.349
AMZN,CWT-FinAgent(제안),9.151,0.307,-23.839
AMZN,FinAgent(원본),-32.14,-1.442,-36.527
AMZN,B&H,-50.984,-1.251,-51.985
GOOGL,CWT-FinAgent(제안),-3.31,-0.106,-16.052
GOOGL,FinAgent(원본),-39.826,-2.295,-43.754
GOOGL,B&H,-39.389,-1.202,-43.628
MSFT,CWT-FinAgent(제안),10.758,0.373,-14.526
MSFT,FinAgent(원본),-39.272,-2.281,-39.416
MSFT,B&H,-27.874,-0.86,-35.579
TSLA,CWT-FinAgent(제안),7.174,0.279,-26.54
TSLA,FinAgent(원본),-47.946,-1.799,-47.675
TSLA,B&H,-69.488,-1.545,-72.72
