Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,123.1,110.1,129.3,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,124.37,108.93,126.01,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,123.05,108.34,123.01,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,127.57,108.28,120.33,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,128.1,108.8,118.03,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,128.67,109.84,116.13,SELL,HOLD,100000.0,0.0,100000.0
2023-01-11,131.38,111.4,114.67,SELL,HOLD,100000.0,0.0,100000.0
2023-01-12,131.3,113.46,113.66,HOLD,HOLD,100000.0,0.0,100000.0
2023-01-13,132.63,115.97,113.12,BUY,BUY,0.0,753.2057,99900.0
2023-01-17,133.79,118.88,113.05,BUY,HOLD,0.0,753.2057,100774.74
2023-01-18,133.08,122.14,113.46,BUY,HOLD,0.0,753.2057,100233.61
2023-01-19,133.14,125.71,114.33,BUY,HOLD,0.0,753.2057,100278.09
2023-01-20,135.69,129.53,115.64,BUY,HOLD,0.0,753.2057,102205.5
2023-01-23,138.88,133.49,117.36,BUY,HOLD,0.0,753.2057,104607.39
2023-01-24,140.28,137.53,119.48,BUY,HOLD,0.0,753.2057,105660.02
2023-01-25,139.62,141.61,121.94,BUY,HOLD,0.0,753.2057,105163.35
2023-01-26,141.69,145.64,124.71,BUY,HOLD,0.0,753.2057,106720.15
2023-01-27,143.63,149.59,127.73,BUY,HOLD,0.0,753.2057,108180.49
2023-01-30,140.74,153.35,130.95,BUY,HOLD,0.0,753.2057,106008.46
2023-01-31,142.01,156.89,134.32,BUY,HOLD,0.0,753.2057,106964.75
2023-02-01,143.13,160.13,137.79,BUY,HOLD,0.0,753.2057,107809.86
2023-02-02,148.44,163.02,141.28,BUY,HOLD,0.0,753.2057,111805.59
2023-02-03,152.06,165.55,144.74,BUY,HOLD,0.0,753.2057,114533.61
2023-02-06,149.34,167.68,148.13,BUY,HOLD,0.0,753.2057,112480.15
2023-02-07,152.21,169.39,151.38,BUY,HOLD,0.0,753.2057,114644.82
2023-02-08,149.52,170.67,154.45,BUY,HOLD,0.0,753.2057,112621.01
2023-02-09,148.49,171.5,157.29,BUY,HOLD,0.0,753.2057,111842.6
2023-02-10,148.85,171.89,159.85,BUY,HOLD,0.0,753.2057,112117.34
2023-02-13,151.65,171.86,162.12,BUY,HOLD,0.0,753.2057,114225.9
2023-02-14,151.01,171.44,164.07,BUY,HOLD,0.0,753.2057,113743.29
2023-02-15,153.11,170.65,165.66,BUY,HOLD,0.0,753.2057,115324.73
2023-02-16,151.51,169.52,166.9,BUY,HOLD,0.0,753.2057,114121.95
2023-02-17,150.37,168.1,167.77,HOLD,HOLD,0.0,753.2057,113260.75
2023-02-21,146.36,166.45,168.28,SELL,SELL,110128.71,0.0,110128.71
2023-02-22,146.78,164.59,168.44,SELL,HOLD,110128.71,0.0,110128.71
2023-02-23,147.27,162.62,168.27,SELL,HOLD,110128.71,0.0,110128.71
2023-02-24,144.61,160.56,167.79,SELL,HOLD,110128.71,0.0,110128.71
2023-02-27,145.81,158.49,167.03,SELL,HOLD,110128.71,0.0,110128.71
2023-02-28,145.3,156.41,166.02,SELL,HOLD,110128.71,0.0,110128.71
2023-03-01,143.23,154.41,164.79,SELL,HOLD,110128.71,0.0,110128.71
2023-03-02,143.83,152.53,163.4,SELL,HOLD,110128.71,0.0,110128.71
2023-03-03,148.87,150.8,161.88,SELL,HOLD,110128.71,0.0,110128.71
2023-03-06,151.63,149.25,160.26,SELL,HOLD,110128.71,0.0,110128.71
2023-03-07,149.44,147.9,158.61,SELL,HOLD,110128.71,0.0,110128.71
2023-03-08,150.69,146.76,156.94,SELL,HOLD,110128.71,0.0,110128.71
2023-03-09,148.44,145.88,155.31,SELL,HOLD,110128.71,0.0,110128.71
2023-03-10,146.38,145.23,153.75,SELL,HOLD,110128.71,0.0,110128.71
2023-03-13,148.32,144.82,152.28,SELL,HOLD,110128.71,0.0,110128.71
2023-03-14,150.41,144.62,150.95,SELL,HOLD,110128.71,0.0,110128.71
2023-03-15,150.81,144.66,149.76,SELL,HOLD,110128.71,0.0,110128.71
2023-03-16,153.62,144.87,148.73,SELL,HOLD,110128.71,0.0,110128.71
2023-03-17,152.79,145.24,147.88,SELL,HOLD,110128.71,0.0,110128.71
2023-03-20,155.15,145.74,147.21,SELL,HOLD,110128.71,0.0,110128.71
2023-03-21,157.01,146.36,146.72,SELL,HOLD,110128.71,0.0,110128.71
2023-03-22,155.58,147.06,146.41,BUY,BUY,0.0,707.1688,110018.58
2023-03-23,156.66,147.83,146.27,BUY,HOLD,0.0,707.1688,110785.37
2023-03-24,157.96,148.59,146.28,BUY,HOLD,0.0,707.1688,111705.5
2023-03-27,156.02,149.34,146.43,BUY,HOLD,0.0,707.1688,110332.28
2023-03-28,155.4,150.05,146.7,BUY,HOLD,0.0,707.1688,109893.11
2023-03-29,158.47,150.7,147.07,BUY,HOLD,0.0,707.1688,112068.0
2023-03-30,160.04,151.28,147.51,BUY,HOLD,0.0,707.1688,113176.35
2023-03-31,162.55,151.76,148.01,BUY,HOLD,0.0,707.1688,114946.89
2023-04-03,163.8,152.15,148.53,BUY,HOLD,0.0,707.1688,115832.16
2023-04-04,163.26,152.43,149.07,BUY,HOLD,0.0,707.1688,115455.76
2023-04-05,161.42,152.57,149.59,BUY,HOLD,0.0,707.1688,114152.23
2023-04-06,162.31,152.61,150.08,BUY,HOLD,0.0,707.1688,114779.58
2023-04-10,159.72,152.53,150.53,BUY,HOLD,0.0,707.1688,112946.29
2023-04-11,158.5,152.36,150.92,BUY,HOLD,0.0,707.1688,112088.89
2023-04-12,157.81,152.1,151.23,BUY,HOLD,0.0,707.1688,111600.95
2023-04-13,163.2,151.76,151.47,HOLD,HOLD,0.0,707.1688,115406.94
2023-04-14,162.85,151.35,151.62,HOLD,HOLD,0.0,707.1688,115162.97
2023-04-17,162.87,150.86,151.68,SELL,SELL,115061.75,0.0,115061.75
2023-04-18,164.09,150.33,151.67,SELL,HOLD,115061.75,0.0,115061.75
2023-04-19,165.24,149.76,151.56,SELL,HOLD,115061.75,0.0,115061.75
2023-04-20,164.27,149.18,151.38,SELL,HOLD,115061.75,0.0,115061.75
2023-04-21,162.66,148.58,151.13,SELL,HOLD,115061.75,0.0,115061.75
2023-04-24,162.97,147.98,150.81,SELL,HOLD,115061.75,0.0,115061.75
2023-04-25,161.43,147.38,150.43,SELL,HOLD,115061.75,0.0,115061.75
2023-04-26,161.42,146.77,150.0,SELL,HOLD,115061.75,0.0,115061.75
2023-04-27,166.01,146.18,149.53,SELL,HOLD,115061.75,0.0,115061.75
2023-04-28,167.26,145.59,149.02,SELL,HOLD,115061.75,0.0,115061.75
2023-05-01,167.17,145.02,148.49,SELL,HOLD,115061.75,0.0,115061.75
2023-05-02,166.13,144.45,147.94,SELL,HOLD,115061.75,0.0,115061.75
2023-05-03,165.06,143.89,147.38,SELL,HOLD,115061.75,0.0,115061.75
2023-05-04,163.42,143.34,146.81,SELL,HOLD,115061.75,0.0,115061.75
2023-05-05,171.09,142.79,146.23,SELL,HOLD,115061.75,0.0,115061.75
2023-05-08,171.02,142.23,145.66,SELL,HOLD,115061.75,0.0,115061.75
2023-05-09,169.32,141.68,145.08,SELL,HOLD,115061.75,0.0,115061.75
2023-05-10,171.08,141.13,144.51,SELL,HOLD,115061.75,0.0,115061.75
2023-05-11,171.27,140.59,143.94,SELL,HOLD,115061.75,0.0,115061.75
2023-05-12,170.34,140.06,143.38,SELL,HOLD,115061.75,0.0,115061.75
2023-05-15,169.85,139.55,142.82,SELL,HOLD,115061.75,0.0,115061.75
2023-05-16,169.85,139.04,142.27,SELL,HOLD,115061.75,0.0,115061.75
2023-05-17,170.46,138.56,141.73,SELL,HOLD,115061.75,0.0,115061.75
2023-05-18,172.79,138.12,141.21,SELL,HOLD,115061.75,0.0,115061.75
2023-05-19,172.9,137.72,140.7,SELL,HOLD,115061.75,0.0,115061.75
2023-05-22,171.95,137.36,140.2,SELL,HOLD,115061.75,0.0,115061.75
2023-05-23,169.34,137.07,139.73,SELL,HOLD,115061.75,0.0,115061.75
2023-05-24,169.62,136.84,139.29,SELL,HOLD,115061.75,0.0,115061.75
2023-05-25,170.76,136.71,138.88,SELL,HOLD,115061.75,0.0,115061.75
2023-05-26,173.16,136.64,138.5,SELL,HOLD,115061.75,0.0,115061.75
