Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,123.1,126.18,131.82,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,124.37,125.11,130.63,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,123.05,123.5,129.29,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,127.57,125.0,128.4,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,128.1,126.24,127.98,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,128.67,128.11,127.74,BUY,BUY,0.0,776.4248,99900.0
2023-01-11,131.38,129.38,127.81,BUY,HOLD,0.0,776.4248,102009.14
2023-01-12,131.3,130.45,127.88,BUY,HOLD,0.0,776.4248,101948.01
2023-01-13,132.63,131.77,127.84,BUY,HOLD,0.0,776.4248,102979.62
2023-01-17,133.79,132.58,128.08,BUY,HOLD,0.0,776.4248,103881.33
2023-01-18,133.08,133.17,128.3,BUY,HOLD,0.0,776.4248,103323.52
2023-01-19,133.14,133.34,128.64,BUY,HOLD,0.0,776.4248,103369.36
2023-01-20,135.69,133.97,129.42,BUY,HOLD,0.0,776.4248,105356.19
2023-01-23,138.88,135.9,130.18,BUY,HOLD,0.0,776.4248,107832.12
2023-01-24,140.28,138.29,131.0,BUY,HOLD,0.0,776.4248,108917.21
2023-01-25,139.62,139.59,132.1,BUY,HOLD,0.0,776.4248,108405.23
2023-01-26,141.69,140.53,133.26,BUY,HOLD,0.0,776.4248,110010.01
2023-01-27,143.63,141.65,134.63,BUY,HOLD,0.0,776.4248,111515.38
2023-01-30,140.74,142.02,135.51,BUY,HOLD,0.0,776.4248,109276.39
2023-01-31,142.01,142.13,136.44,BUY,HOLD,0.0,776.4248,110262.16
2023-02-01,143.13,141.96,137.4,BUY,HOLD,0.0,776.4248,111133.32
2023-02-02,148.44,144.53,138.54,BUY,HOLD,0.0,776.4248,115252.23
2023-02-03,152.06,147.88,139.92,BUY,HOLD,0.0,776.4248,118064.34
2023-02-06,149.34,149.95,141.04,BUY,HOLD,0.0,776.4248,115947.59
2023-02-07,152.21,151.2,142.26,BUY,HOLD,0.0,776.4248,118178.98
2023-02-08,149.52,150.36,143.36,BUY,HOLD,0.0,776.4248,116092.79
2023-02-09,148.49,150.07,144.38,BUY,HOLD,0.0,776.4248,115290.38
2023-02-10,148.85,148.95,145.26,BUY,HOLD,0.0,776.4248,115573.59
2023-02-13,151.65,149.67,146.11,BUY,HOLD,0.0,776.4248,117747.14
2023-02-14,151.01,150.51,146.83,BUY,HOLD,0.0,776.4248,117249.66
2023-02-15,153.11,151.93,147.73,BUY,HOLD,0.0,776.4248,118879.85
2023-02-16,151.51,151.88,148.38,BUY,HOLD,0.0,776.4248,117640.0
2023-02-17,150.37,151.67,148.83,BUY,HOLD,0.0,776.4248,116752.24
2023-02-21,146.36,149.42,149.21,HOLD,HOLD,0.0,776.4248,113637.29
2023-02-22,146.78,147.84,149.52,SELL,SELL,113852.42,0.0,113852.42
2023-02-23,147.27,146.8,149.8,SELL,HOLD,113852.42,0.0,113852.42
2023-02-24,144.61,146.22,149.54,SELL,HOLD,113852.42,0.0,113852.42
2023-02-27,145.81,145.9,149.13,SELL,HOLD,113852.42,0.0,113852.42
2023-02-28,145.3,145.24,148.86,SELL,HOLD,113852.42,0.0,113852.42
2023-03-01,143.23,144.78,148.26,SELL,HOLD,113852.42,0.0,113852.42
2023-03-02,143.83,144.12,147.88,SELL,HOLD,113852.42,0.0,113852.42
2023-03-03,148.87,145.31,147.91,SELL,HOLD,113852.42,0.0,113852.42
2023-03-06,151.63,148.11,148.09,HOLD,HOLD,113852.42,0.0,113852.42
2023-03-07,149.44,149.98,147.94,BUY,BUY,0.0,761.1236,113738.57
2023-03-08,150.69,150.59,147.92,BUY,HOLD,0.0,761.1236,114691.4
2023-03-09,148.44,149.52,147.61,BUY,HOLD,0.0,761.1236,112980.83
2023-03-10,146.38,148.5,147.27,BUY,HOLD,0.0,761.1236,111412.79
2023-03-13,148.32,147.71,147.13,BUY,HOLD,0.0,761.1236,112890.8
2023-03-14,150.41,148.37,147.4,BUY,HOLD,0.0,761.1236,114481.34
2023-03-15,150.81,149.85,147.67,BUY,HOLD,0.0,761.1236,114781.44
2023-03-16,153.62,151.61,148.09,BUY,HOLD,0.0,761.1236,116927.15
2023-03-17,152.79,152.41,148.64,BUY,HOLD,0.0,761.1236,116289.44
2023-03-20,155.15,153.85,149.26,BUY,HOLD,0.0,761.1236,118090.06
2023-03-21,157.01,154.98,150.04,BUY,HOLD,0.0,761.1236,119500.53
