Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,85.82,129.62,131.54,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,85.14,130.93,131.06,HOLD,HOLD,100000.0,0.0,100000.0
2023-01-05,83.12,132.59,130.84,BUY,BUY,0.0,1201.8768,99900.0
2023-01-06,86.08,134.57,130.88,BUY,HOLD,0.0,1201.8768,103457.55
2023-01-09,87.36,136.89,131.2,BUY,HOLD,0.0,1201.8768,104995.95
2023-01-10,89.87,139.47,131.82,BUY,HOLD,0.0,1201.8768,108012.67
2023-01-11,95.09,142.3,132.73,BUY,HOLD,0.0,1201.8768,114286.46
2023-01-12,95.27,145.32,133.95,BUY,HOLD,0.0,1201.8768,114502.8
2023-01-13,98.12,148.48,135.45,BUY,HOLD,0.0,1201.8768,117928.15
2023-01-17,96.05,151.75,137.23,BUY,HOLD,0.0,1201.8768,115440.27
2023-01-18,95.46,155.05,139.26,BUY,HOLD,0.0,1201.8768,114731.15
2023-01-19,93.68,158.33,141.51,BUY,HOLD,0.0,1201.8768,112591.82
2023-01-20,97.25,161.54,143.96,BUY,HOLD,0.0,1201.8768,116882.52
2023-01-23,97.52,164.58,146.55,BUY,HOLD,0.0,1201.8768,117207.02
2023-01-24,96.32,167.45,149.27,BUY,HOLD,0.0,1201.8768,115764.77
2023-01-25,97.18,170.07,152.05,BUY,HOLD,0.0,1201.8768,116798.38
2023-01-26,99.22,172.4,154.85,BUY,HOLD,0.0,1201.8768,119250.21
2023-01-27,102.24,174.41,157.63,BUY,HOLD,0.0,1201.8768,122879.88
2023-01-30,100.55,176.04,160.34,BUY,HOLD,0.0,1201.8768,120848.71
2023-01-31,103.13,177.3,162.93,BUY,HOLD,0.0,1201.8768,123949.55
2023-02-01,105.15,178.14,165.36,BUY,HOLD,0.0,1201.8768,126377.34
2023-02-02,112.91,178.56,167.59,BUY,HOLD,0.0,1201.8768,135703.91
2023-02-03,103.39,178.55,169.58,BUY,HOLD,0.0,1201.8768,124262.04
2023-02-06,102.18,178.12,171.29,BUY,HOLD,0.0,1201.8768,122807.77
2023-02-07,102.11,177.29,172.7,BUY,HOLD,0.0,1201.8768,122723.64
2023-02-08,100.05,176.1,173.78,BUY,HOLD,0.0,1201.8768,120247.77
2023-02-09,98.24,174.53,174.53,HOLD,HOLD,0.0,1201.8768,118072.37
2023-02-10,97.61,172.64,174.92,SELL,SELL,117197.88,0.0,117197.88
2023-02-13,99.54,170.45,174.96,SELL,HOLD,117197.88,0.0,117197.88
2023-02-14,99.7,168.05,174.65,SELL,HOLD,117197.88,0.0,117197.88
2023-02-15,101.16,165.44,173.99,SELL,HOLD,117197.88,0.0,117197.88
2023-02-16,98.15,162.7,173.02,SELL,HOLD,117197.88,0.0,117197.88
2023-02-17,97.2,159.85,171.74,SELL,HOLD,117197.88,0.0,117197.88
2023-02-21,94.58,156.98,170.18,SELL,HOLD,117197.88,0.0,117197.88
2023-02-22,95.79,154.11,168.38,SELL,HOLD,117197.88,0.0,117197.88
2023-02-23,95.82,151.32,166.37,SELL,HOLD,117197.88,0.0,117197.88
