Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,85.82,84.67,86.38,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,85.14,84.99,86.02,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,83.12,84.69,85.4,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,86.08,84.78,85.03,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,87.36,85.52,84.96,BUY,BUY,0.0,1143.5439,99900.0
2023-01-10,89.87,87.77,85.09,BUY,HOLD,0.0,1143.5439,102770.3
2023-01-11,95.09,90.77,85.77,BUY,HOLD,0.0,1143.5439,108739.59
2023-01-12,95.27,93.41,86.44,BUY,HOLD,0.0,1143.5439,108945.43
2023-01-13,98.12,96.16,87.2,BUY,HOLD,0.0,1143.5439,112204.54
2023-01-17,96.05,96.48,88.01,BUY,HOLD,0.0,1143.5439,109837.4
2023-01-18,95.46,96.54,88.69,BUY,HOLD,0.0,1143.5439,109162.7
2023-01-19,93.68,95.06,89.4,BUY,HOLD,0.0,1143.5439,107127.2
2023-01-20,97.25,95.46,90.43,BUY,HOLD,0.0,1143.5439,111209.65
2023-01-23,97.52,96.15,91.32,BUY,HOLD,0.0,1143.5439,111518.4
2023-01-24,96.32,97.03,92.14,BUY,HOLD,0.0,1143.5439,110146.15
2023-01-25,97.18,97.01,92.9,BUY,HOLD,0.0,1143.5439,111129.6
2023-01-26,99.22,97.57,93.84,BUY,HOLD,0.0,1143.5439,113462.43
2023-01-27,102.24,99.55,95.11,BUY,HOLD,0.0,1143.5439,116915.93
2023-01-30,100.55,100.67,96.08,BUY,HOLD,0.0,1143.5439,114983.35
2023-01-31,103.13,101.97,97.13,BUY,HOLD,0.0,1143.5439,117933.68
2023-02-01,105.15,102.94,98.15,BUY,HOLD,0.0,1143.5439,120243.65
2023-02-02,112.91,107.06,99.34,BUY,HOLD,0.0,1143.5439,129117.55
2023-02-03,103.39,107.15,99.88,BUY,HOLD,0.0,1143.5439,118231.01
2023-02-06,102.18,106.16,100.15,BUY,HOLD,0.0,1143.5439,116847.32
2023-02-07,102.11,102.56,100.55,BUY,HOLD,0.0,1143.5439,116767.27
2023-02-08,100.05,101.45,100.86,BUY,HOLD,0.0,1143.5439,114411.58
2023-02-09,98.24,100.13,101.16,SELL,SELL,112229.41,0.0,112229.41
2023-02-10,97.61,98.63,101.19,SELL,HOLD,112229.41,0.0,112229.41
2023-02-13,99.54,98.46,101.32,SELL,HOLD,112229.41,0.0,112229.41
