Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,88.39,103.39,111.89,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,87.36,103.57,110.37,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,85.49,104.15,109.07,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,86.62,105.08,108.04,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,87.3,106.39,107.29,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,87.7,108.05,106.83,BUY,BUY,0.0,1139.173,99900.0
2023-01-11,90.77,110.01,106.7,BUY,HOLD,0.0,1139.173,103402.48
2023-01-12,90.38,112.24,106.88,BUY,HOLD,0.0,1139.173,102961.84
2023-01-13,91.36,114.7,107.38,BUY,HOLD,0.0,1139.173,104080.4
2023-01-17,90.54,117.34,108.19,BUY,HOLD,0.0,1139.173,103142.63
2023-01-18,90.37,120.13,109.3,BUY,HOLD,0.0,1139.173,102950.56
2023-01-19,92.29,122.97,110.69,BUY,HOLD,0.0,1139.173,105131.16
2023-01-20,97.22,125.84,112.33,BUY,HOLD,0.0,1139.173,110746.42
2023-01-23,98.97,128.63,114.19,BUY,HOLD,0.0,1139.173,112746.24
2023-01-24,96.9,131.32,116.24,BUY,HOLD,0.0,1139.173,110384.86
2023-01-25,94.44,133.86,118.43,BUY,HOLD,0.0,1139.173,107582.89
2023-01-26,96.72,136.17,120.71,BUY,HOLD,0.0,1139.173,110181.51
2023-01-27,98.56,138.23,123.05,BUY,HOLD,0.0,1139.173,112271.69
2023-01-30,96.15,139.97,125.4,BUY,HOLD,0.0,1139.173,109526.2
2023-01-31,98.03,141.37,127.71,BUY,HOLD,0.0,1139.173,111672.88
2023-02-01,99.61,142.38,129.92,BUY,HOLD,0.0,1139.173,113469.32
2023-02-02,106.86,142.99,132.0,BUY,HOLD,0.0,1139.173,121728.43
2023-02-03,103.92,143.19,133.9,BUY,HOLD,0.0,1139.173,118384.1
2023-02-06,102.06,142.97,135.58,BUY,HOLD,0.0,1139.173,116260.01
2023-02-07,106.76,142.36,137.0,BUY,HOLD,0.0,1139.173,121615.43
2023-02-08,98.56,141.39,138.15,BUY,HOLD,0.0,1139.173,112271.69
2023-02-09,94.23,140.05,138.99,BUY,HOLD,0.0,1139.173,107345.61
2023-02-10,93.79,138.38,139.51,SELL,SELL,106741.64,0.0,106741.64
2023-02-13,93.83,136.43,139.71,SELL,HOLD,106741.64,0.0,106741.64
2023-02-14,93.9,134.27,139.58,SELL,HOLD,106741.64,0.0,106741.64
2023-02-15,96.15,131.91,139.12,SELL,HOLD,106741.64,0.0,106741.64
2023-02-16,94.73,129.46,138.37,SELL,HOLD,106741.64,0.0,106741.64
