Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,88.39,87.87,89.15,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,87.36,87.75,88.81,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,85.49,87.08,88.19,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,86.62,86.49,87.67,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,87.3,86.47,87.49,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,87.7,87.21,87.36,HOLD,HOLD,100000.0,0.0,100000.0
2023-01-11,90.77,88.59,87.57,BUY,BUY,0.0,1100.5865,99900.0
2023-01-12,90.38,89.62,87.71,BUY,HOLD,0.0,1100.5865,99474.28
2023-01-13,91.36,90.84,87.88,BUY,HOLD,0.0,1100.5865,100554.95
2023-01-17,90.54,90.76,88.11,BUY,HOLD,0.0,1100.5865,99648.95
2023-01-18,90.37,90.76,88.23,BUY,HOLD,0.0,1100.5865,99463.38
2023-01-19,92.29,91.07,88.61,BUY,HOLD,0.0,1100.5865,101570.12
2023-01-20,97.22,93.29,89.4,BUY,HOLD,0.0,1100.5865,106995.18
2023-01-23,98.97,96.16,90.15,BUY,HOLD,0.0,1100.5865,108927.26
2023-01-24,96.9,97.7,90.78,BUY,HOLD,0.0,1100.5865,106645.87
2023-01-25,94.44,96.77,91.18,BUY,HOLD,0.0,1100.5865,103938.81
2023-01-26,96.72,96.02,91.81,BUY,HOLD,0.0,1100.5865,106449.4
2023-01-27,98.56,96.57,92.68,BUY,HOLD,0.0,1100.5865,108468.78
2023-01-30,96.15,97.14,93.31,BUY,HOLD,0.0,1100.5865,105816.29
2023-01-31,98.03,97.58,94.03,BUY,HOLD,0.0,1100.5865,107890.26
2023-02-01,99.61,97.93,94.82,BUY,HOLD,0.0,1100.5865,109625.85
2023-02-02,106.86,101.5,95.89,BUY,HOLD,0.0,1100.5865,117605.2
2023-02-03,103.92,103.46,96.8,BUY,HOLD,0.0,1100.5865,114374.15
2023-02-06,102.06,104.28,97.51,BUY,HOLD,0.0,1100.5865,112322.01
2023-02-07,106.76,104.25,98.59,BUY,HOLD,0.0,1100.5865,117496.03
2023-02-08,98.56,102.46,99.13,BUY,HOLD,0.0,1100.5865,108468.78
2023-02-09,94.23,99.85,99.26,BUY,HOLD,0.0,1100.5865,103709.56
2023-02-10,93.79,95.53,99.04,SELL,SELL,103126.05,0.0,103126.05
2023-02-13,93.83,93.95,98.69,SELL,HOLD,103126.05,0.0,103126.05
2023-02-14,93.9,93.84,98.49,SELL,HOLD,103126.05,0.0,103126.05
2023-02-15,96.15,94.63,98.61,SELL,HOLD,103126.05,0.0,103126.05
