Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,233.45,258.62,291.03,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,223.24,254.46,285.92,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,216.62,250.89,280.88,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,219.18,247.95,276.0,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,221.31,245.75,271.34,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,223.0,244.26,266.99,SELL,HOLD,100000.0,0.0,100000.0
2023-01-11,229.74,243.52,263.02,SELL,HOLD,100000.0,0.0,100000.0
2023-01-12,232.41,243.57,259.49,SELL,HOLD,100000.0,0.0,100000.0
2023-01-13,233.11,244.36,256.45,SELL,HOLD,100000.0,0.0,100000.0
2023-01-17,234.2,245.95,253.97,SELL,HOLD,100000.0,0.0,100000.0
2023-01-18,229.78,248.26,252.08,SELL,HOLD,100000.0,0.0,100000.0
2023-01-19,226.0,251.27,250.81,HOLD,HOLD,100000.0,0.0,100000.0
2023-01-20,234.08,254.87,250.18,BUY,BUY,0.0,426.7836,99900.0
2023-01-23,236.38,258.95,250.2,BUY,HOLD,0.0,426.7836,100881.45
2023-01-24,235.85,263.48,250.85,BUY,HOLD,0.0,426.7836,100656.87
2023-01-25,234.46,268.36,252.13,BUY,HOLD,0.0,426.7836,100062.19
2023-01-26,241.66,273.46,254.0,BUY,HOLD,0.0,426.7836,103135.45
2023-01-27,241.81,278.72,256.42,BUY,HOLD,0.0,426.7836,103202.0
2023-01-30,236.5,283.96,259.33,BUY,HOLD,0.0,426.7836,100935.51
2023-01-31,241.47,289.12,262.67,BUY,HOLD,0.0,426.7836,103056.44
2023-02-01,246.29,294.01,266.37,BUY,HOLD,0.0,426.7836,105110.83
2023-02-02,257.83,298.55,270.34,BUY,HOLD,0.0,426.7836,110038.87
2023-02-03,251.74,302.63,274.49,BUY,HOLD,0.0,426.7836,107439.7
2023-02-06,250.2,306.18,278.73,BUY,HOLD,0.0,426.7836,106782.62
2023-02-07,260.72,309.15,282.98,BUY,HOLD,0.0,426.7836,111269.85
2023-02-08,259.91,311.5,287.13,BUY,HOLD,0.0,426.7836,110924.69
2023-02-09,256.88,313.11,291.1,BUY,HOLD,0.0,426.7836,109631.34
2023-02-10,256.37,314.01,294.81,BUY,HOLD,0.0,426.7836,109415.08
2023-02-13,264.38,314.16,298.18,BUY,HOLD,0.0,426.7836,112833.53
2023-02-14,265.21,313.66,301.14,BUY,HOLD,0.0,426.7836,113187.03
2023-02-15,263.09,312.51,303.64,BUY,HOLD,0.0,426.7836,112282.31
2023-02-16,256.09,310.77,305.64,BUY,HOLD,0.0,426.7836,109293.07
2023-02-17,252.09,308.48,307.09,BUY,HOLD,0.0,426.7836,107587.88
2023-02-21,246.82,305.77,308.0,SELL,SELL,105235.41,0.0,105235.41
2023-02-22,245.69,302.7,308.35,SELL,HOLD,105235.41,0.0,105235.41
2023-02-23,248.88,299.43,308.17,SELL,HOLD,105235.41,0.0,105235.41
2023-02-24,243.45,296.01,307.49,SELL,HOLD,105235.41,0.0,105235.41
2023-02-27,244.37,292.64,306.35,SELL,HOLD,105235.41,0.0,105235.41
2023-02-28,243.65,289.32,304.8,SELL,HOLD,105235.41,0.0,105235.41
2023-03-01,240.57,286.24,302.91,SELL,HOLD,105235.41,0.0,105235.41
2023-03-02,245.3,283.43,300.74,SELL,HOLD,105235.41,0.0,105235.41
2023-03-03,249.38,281.0,298.38,SELL,HOLD,105235.41,0.0,105235.41
2023-03-06,250.93,279.01,295.91,SELL,HOLD,105235.41,0.0,105235.41
2023-03-07,248.27,277.47,293.4,SELL,HOLD,105235.41,0.0,105235.41
2023-03-08,247.83,276.45,290.94,SELL,HOLD,105235.41,0.0,105235.41
2023-03-09,246.48,275.99,288.6,SELL,HOLD,105235.41,0.0,105235.41
2023-03-10,242.84,276.05,286.46,SELL,HOLD,105235.41,0.0,105235.41
2023-03-13,248.05,276.59,284.56,SELL,HOLD,105235.41,0.0,105235.41
2023-03-14,254.76,277.57,282.96,SELL,HOLD,105235.41,0.0,105235.41
2023-03-15,259.3,278.96,281.71,SELL,HOLD,105235.41,0.0,105235.41
2023-03-16,269.81,280.65,280.8,HOLD,HOLD,105235.41,0.0,105235.41
2023-03-17,272.97,282.57,280.27,BUY,BUY,0.0,385.1408,105130.18
2023-03-20,265.93,284.65,280.11,BUY,HOLD,0.0,385.1408,102421.36
2023-03-21,267.45,286.83,280.31,BUY,HOLD,0.0,385.1408,103004.49
2023-03-22,265.99,289.04,280.84,BUY,HOLD,0.0,385.1408,102443.91
2023-03-23,271.24,291.16,281.66,BUY,HOLD,0.0,385.1408,104464.28
2023-03-24,274.08,293.1,282.73,BUY,HOLD,0.0,385.1408,105559.11
2023-03-27,269.99,294.74,283.98,BUY,HOLD,0.0,385.1408,103982.69
2023-03-28,268.86,296.14,285.39,BUY,HOLD,0.0,385.1408,103550.04
2023-03-29,274.02,297.21,286.88,BUY,HOLD,0.0,385.1408,105536.55
2023-03-30,277.48,297.95,288.37,BUY,HOLD,0.0,385.1408,106868.37
2023-03-31,281.63,298.25,289.83,BUY,HOLD,0.0,385.1408,108467.36
2023-04-03,280.59,298.2,291.2,BUY,HOLD,0.0,385.1408,108064.8
2023-04-04,280.54,297.76,292.41,BUY,HOLD,0.0,385.1408,108045.99
2023-04-05,277.76,296.94,293.43,BUY,HOLD,0.0,385.1408,106977.5
2023-04-06,284.85,295.79,294.22,BUY,HOLD,0.0,385.1408,109708.93
2023-04-10,282.7,294.35,294.77,HOLD,HOLD,0.0,385.1408,108877.45
2023-04-11,276.29,292.69,295.04,SELL,SELL,106302.97,0.0,106302.97
2023-04-12,276.93,290.85,295.03,SELL,HOLD,106302.97,0.0,106302.97
2023-04-13,283.13,288.9,294.74,SELL,HOLD,106302.97,0.0,106302.97
2023-04-14,279.52,286.88,294.18,SELL,HOLD,106302.97,0.0,106302.97
2023-04-17,282.12,284.81,293.37,SELL,HOLD,106302.97,0.0,106302.97
2023-04-18,281.7,282.79,292.35,SELL,HOLD,106302.97,0.0,106302.97
2023-04-19,281.78,280.87,291.13,SELL,HOLD,106302.97,0.0,106302.97
2023-04-20,279.49,279.1,289.75,SELL,HOLD,106302.97,0.0,106302.97
2023-04-21,279.15,277.49,288.26,SELL,HOLD,106302.97,0.0,106302.97
2023-04-24,275.25,276.07,286.69,SELL,HOLD,106302.97,0.0,106302.97
2023-04-25,269.05,274.88,285.09,SELL,HOLD,106302.97,0.0,106302.97
2023-04-26,288.54,273.89,283.48,SELL,HOLD,106302.97,0.0,106302.97
2023-04-27,297.78,273.15,281.93,SELL,HOLD,106302.97,0.0,106302.97
2023-04-28,300.15,272.67,280.46,SELL,HOLD,106302.97,0.0,106302.97
2023-05-01,298.49,272.46,279.11,SELL,HOLD,106302.97,0.0,106302.97
2023-05-02,298.34,272.47,277.89,SELL,HOLD,106302.97,0.0,106302.97
2023-05-03,297.36,272.66,276.83,SELL,HOLD,106302.97,0.0,106302.97
2023-05-04,298.34,273.05,275.93,SELL,HOLD,106302.97,0.0,106302.97
2023-05-05,303.46,273.59,275.23,SELL,HOLD,106302.97,0.0,106302.97
2023-05-08,301.51,274.31,274.72,HOLD,HOLD,106302.97,0.0,106302.97
2023-05-09,299.9,275.15,274.41,BUY,BUY,0.0,354.1095,106196.67
2023-05-10,305.08,276.1,274.28,BUY,HOLD,0.0,354.1095,108033.49
2023-05-11,302.94,277.15,274.33,BUY,HOLD,0.0,354.1095,107272.46
2023-05-12,301.82,278.27,274.57,BUY,HOLD,0.0,354.1095,106878.13
2023-05-15,302.3,279.45,274.95,BUY,HOLD,0.0,354.1095,107047.64
2023-05-16,304.53,280.64,275.49,BUY,HOLD,0.0,354.1095,107836.32
2023-05-17,307.41,281.87,276.16,BUY,HOLD,0.0,354.1095,108855.56
2023-05-18,311.83,283.14,276.95,BUY,HOLD,0.0,354.1095,110422.51
2023-05-19,311.66,284.36,277.82,BUY,HOLD,0.0,354.1095,110360.11
2023-05-22,314.44,285.56,278.78,BUY,HOLD,0.0,354.1095,111344.65
2023-05-23,308.64,286.7,279.8,BUY,HOLD,0.0,354.1095,109292.37
2023-05-24,307.26,287.85,280.86,BUY,HOLD,0.0,354.1095,108803.56
2023-05-25,319.08,288.93,281.96,BUY,HOLD,0.0,354.1095,112987.9
2023-05-26,325.9,289.93,283.06,BUY,HOLD,0.0,354.1095,115404.22
2023-05-30,324.26,290.82,284.16,BUY,HOLD,0.0,354.1095,114821.8
2023-05-31,321.49,291.64,285.25,BUY,HOLD,0.0,354.1095,113844.21
2023-06-01,325.6,292.36,286.31,BUY,HOLD,0.0,354.1095,115296.72
2023-06-02,328.36,292.96,287.33,BUY,HOLD,0.0,354.1095,116274.38
2023-06-05,328.89,293.39,288.28,BUY,HOLD,0.0,354.1095,116461.58
2023-06-06,326.67,293.74,289.17,BUY,HOLD,0.0,354.1095,115678.09
2023-06-07,316.59,293.98,289.99,BUY,HOLD,0.0,354.1095,112107.35
2023-06-08,318.43,294.11,290.73,BUY,HOLD,0.0,354.1095,112759.1
2023-06-09,319.93,294.07,291.36,BUY,HOLD,0.0,354.1095,113289.5
2023-06-12,324.88,293.99,291.92,BUY,HOLD,0.0,354.1095,115043.67
2023-06-13,327.27,293.82,292.38,BUY,HOLD,0.0,354.1095,115889.56
2023-06-14,330.26,293.62,292.74,BUY,HOLD,0.0,354.1095,116946.91
2023-06-15,340.79,293.34,293.02,HOLD,HOLD,0.0,354.1095,120677.11
2023-06-16,335.14,293.07,293.21,HOLD,HOLD,0.0,354.1095,118676.8
2023-06-20,330.95,292.84,293.33,HOLD,HOLD,0.0,354.1095,117193.05
2023-06-21,326.56,292.65,293.38,SELL,SELL,115520.85,0.0,115520.85
2023-06-22,332.58,292.54,293.39,SELL,HOLD,115520.85,0.0,115520.85
2023-06-23,327.99,292.53,293.36,SELL,HOLD,115520.85,0.0,115520.85
2023-06-26,321.7,292.65,293.32,SELL,HOLD,115520.85,0.0,115520.85
2023-06-27,327.54,292.95,293.3,HOLD,HOLD,115520.85,0.0,115520.85
2023-06-28,328.8,293.37,293.29,HOLD,HOLD,115520.85,0.0,115520.85
2023-06-29,328.01,293.96,293.32,BUY,BUY,0.0,351.8301,115405.32
2023-06-30,333.39,294.69,293.41,BUY,HOLD,0.0,351.8301,117296.34
