Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,233.45,234.0,237.49,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,223.24,230.13,235.97,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,216.62,224.44,233.72,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,219.18,219.68,231.62,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,221.31,219.04,230.2,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,223.0,221.16,229.17,SELL,HOLD,100000.0,0.0,100000.0
2023-01-11,229.74,224.68,228.87,SELL,HOLD,100000.0,0.0,100000.0
2023-01-12,232.41,228.38,228.65,HOLD,HOLD,100000.0,0.0,100000.0
2023-01-13,233.11,231.75,228.32,BUY,BUY,0.0,428.5498,99900.0
2023-01-17,234.2,233.24,228.46,BUY,HOLD,0.0,428.5498,100367.69
2023-01-18,229.78,232.36,228.27,BUY,HOLD,0.0,428.5498,98471.84
2023-01-19,226.0,229.99,227.94,BUY,HOLD,0.0,428.5498,96851.6
2023-01-20,234.08,229.95,228.31,BUY,HOLD,0.0,428.5498,100313.42
2023-01-23,236.38,232.15,228.41,BUY,HOLD,0.0,428.5498,101298.93
2023-01-24,235.85,235.43,228.56,BUY,HOLD,0.0,428.5498,101073.42
2023-01-25,234.46,235.56,228.62,BUY,HOLD,0.0,428.5498,100476.28
2023-01-26,241.66,237.32,229.85,BUY,HOLD,0.0,428.5498,103562.26
2023-01-27,241.81,239.31,231.53,BUY,HOLD,0.0,428.5498,103629.08
2023-01-30,236.5,239.99,232.69,BUY,HOLD,0.0,428.5498,101353.22
2023-01-31,241.47,239.93,234.03,BUY,HOLD,0.0,428.5498,103482.92
2023-02-01,246.29,241.42,235.58,BUY,HOLD,0.0,428.5498,105545.81
2023-02-02,257.83,248.53,237.46,BUY,HOLD,0.0,428.5498,110494.25
2023-02-03,251.74,251.95,238.74,BUY,HOLD,0.0,428.5498,107884.32
2023-02-06,250.2,253.26,239.88,BUY,HOLD,0.0,428.5498,107224.52
2023-02-07,260.72,254.22,241.65,BUY,HOLD,0.0,428.5498,111730.32
2023-02-08,259.91,256.94,243.66,BUY,HOLD,0.0,428.5498,111383.73
2023-02-09,256.88,259.17,245.72,BUY,HOLD,0.0,428.5498,110085.03
2023-02-10,256.37,257.72,247.2,BUY,HOLD,0.0,428.5498,109867.88
2023-02-13,264.38,259.21,249.07,BUY,HOLD,0.0,428.5498,113300.47
2023-02-14,265.21,261.99,251.03,BUY,HOLD,0.0,428.5498,113655.43
2023-02-15,263.09,264.23,252.94,BUY,HOLD,0.0,428.5498,112746.97
2023-02-16,256.09,261.46,253.9,BUY,HOLD,0.0,428.5498,109745.36
2023-02-17,252.09,257.09,254.58,BUY,HOLD,0.0,428.5498,108033.12
2023-02-21,246.82,251.67,255.27,SELL,SELL,105670.91,0.0,105670.91
2023-02-22,245.69,248.2,255.55,SELL,HOLD,105670.91,0.0,105670.91
2023-02-23,248.88,247.13,255.73,SELL,HOLD,105670.91,0.0,105670.91
2023-02-24,243.45,246.01,254.77,SELL,HOLD,105670.91,0.0,105670.91
2023-02-27,244.37,245.57,254.28,SELL,HOLD,105670.91,0.0,105670.91
2023-02-28,243.65,243.83,253.84,SELL,HOLD,105670.91,0.0,105670.91
2023-03-01,240.57,242.87,252.5,SELL,HOLD,105670.91,0.0,105670.91
2023-03-02,245.3,243.17,251.52,SELL,HOLD,105670.91,0.0,105670.91
2023-03-03,249.38,245.09,251.02,SELL,HOLD,105670.91,0.0,105670.91
2023-03-06,250.93,248.54,250.66,SELL,HOLD,105670.91,0.0,105670.91
2023-03-07,248.27,249.53,249.59,HOLD,HOLD,105670.91,0.0,105670.91
