Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,108.1,78.03,154.61,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,113.64,69.94,142.28,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,110.34,63.5,130.42,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,113.06,58.87,119.2,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,119.77,56.08,108.82,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,118.85,55.25,99.46,SELL,HOLD,100000.0,0.0,100000.0
2023-01-11,123.22,56.37,91.28,SELL,HOLD,100000.0,0.0,100000.0
2023-01-12,123.56,59.45,84.4,SELL,HOLD,100000.0,0.0,100000.0
2023-01-13,122.4,64.32,78.94,SELL,HOLD,100000.0,0.0,100000.0
2023-01-17,131.49,70.99,75.02,SELL,HOLD,100000.0,0.0,100000.0
2023-01-18,128.78,79.37,72.7,BUY,BUY,0.0,775.7416,99900.0
2023-01-19,127.17,89.32,72.01,BUY,HOLD,0.0,775.7416,98651.06
2023-01-20,133.42,100.65,72.98,BUY,HOLD,0.0,775.7416,103499.44
2023-01-23,143.75,113.18,75.61,BUY,HOLD,0.0,775.7416,111512.85
2023-01-24,143.89,126.7,79.82,BUY,HOLD,0.0,775.7416,111621.46
2023-01-25,144.43,141.04,85.58,BUY,HOLD,0.0,775.7416,112040.35
2023-01-26,160.27,155.92,92.8,BUY,HOLD,0.0,775.7416,124328.11
2023-01-27,177.9,171.25,101.37,BUY,HOLD,0.0,775.7416,138004.42
2023-01-30,166.66,186.67,111.14,BUY,HOLD,0.0,775.7416,129285.09
2023-01-31,173.22,202.04,121.99,BUY,HOLD,0.0,775.7416,134373.96
2023-02-01,181.41,217.06,133.73,BUY,HOLD,0.0,775.7416,140727.28
2023-02-02,188.27,231.57,146.18,BUY,HOLD,0.0,775.7416,146048.87
2023-02-03,189.98,245.38,159.18,BUY,HOLD,0.0,775.7416,147375.38
2023-02-06,194.76,258.32,172.53,BUY,HOLD,0.0,775.7416,151083.43
2023-02-07,196.81,270.2,186.03,BUY,HOLD,0.0,775.7416,152673.7
2023-02-08,201.29,280.88,199.48,BUY,HOLD,0.0,775.7416,156149.02
2023-02-09,207.32,290.23,212.71,BUY,HOLD,0.0,775.7416,160826.75
2023-02-10,196.89,298.2,225.54,BUY,HOLD,0.0,775.7416,152735.76
2023-02-13,194.64,304.71,237.79,BUY,HOLD,0.0,775.7416,150990.34
2023-02-14,209.25,309.76,249.32,BUY,HOLD,0.0,775.7416,162323.93
2023-02-15,214.24,313.34,260.0,BUY,HOLD,0.0,775.7416,166194.88
2023-02-16,202.04,315.47,269.7,BUY,HOLD,0.0,775.7416,156730.82
2023-02-17,208.31,316.16,278.31,BUY,HOLD,0.0,775.7416,161594.73
2023-02-21,197.37,315.52,285.77,BUY,HOLD,0.0,775.7416,153108.11
2023-02-22,200.86,313.62,292.01,BUY,HOLD,0.0,775.7416,155815.45
2023-02-23,202.07,310.67,297.03,BUY,HOLD,0.0,775.7416,156754.11
2023-02-24,196.88,306.74,300.8,BUY,HOLD,0.0,775.7416,152728.01
2023-02-27,207.63,302.06,303.35,SELL,SELL,160906.16,0.0,160906.16
2023-02-28,205.71,296.64,304.69,SELL,HOLD,160906.16,0.0,160906.16
2023-03-01,202.77,290.78,304.92,SELL,HOLD,160906.16,0.0,160906.16
2023-03-02,190.9,284.59,304.09,SELL,HOLD,160906.16,0.0,160906.16
2023-03-03,197.79,278.31,302.31,SELL,HOLD,160906.16,0.0,160906.16
2023-03-06,193.81,272.03,299.68,SELL,HOLD,160906.16,0.0,160906.16
2023-03-07,187.71,265.93,296.33,SELL,HOLD,160906.16,0.0,160906.16
2023-03-08,182.0,260.11,292.38,SELL,HOLD,160906.16,0.0,160906.16
2023-03-09,172.92,254.76,287.97,SELL,HOLD,160906.16,0.0,160906.16
2023-03-10,173.44,249.93,283.22,SELL,HOLD,160906.16,0.0,160906.16
2023-03-13,174.48,245.7,278.29,SELL,HOLD,160906.16,0.0,160906.16
2023-03-14,183.26,242.1,273.28,SELL,HOLD,160906.16,0.0,160906.16
2023-03-15,180.45,239.16,268.33,SELL,HOLD,160906.16,0.0,160906.16
2023-03-16,184.13,236.91,263.54,SELL,HOLD,160906.16,0.0,160906.16
2023-03-17,180.13,235.31,259.0,SELL,HOLD,160906.16,0.0,160906.16
2023-03-20,183.25,234.22,254.76,SELL,HOLD,160906.16,0.0,160906.16
2023-03-21,197.58,233.64,250.93,SELL,HOLD,160906.16,0.0,160906.16
2023-03-22,191.15,233.46,247.53,SELL,HOLD,160906.16,0.0,160906.16
2023-03-23,192.22,233.6,244.57,SELL,HOLD,160906.16,0.0,160906.16
2023-03-24,190.41,233.91,242.05,SELL,HOLD,160906.16,0.0,160906.16
2023-03-27,191.81,234.28,239.98,SELL,HOLD,160906.16,0.0,160906.16
2023-03-28,189.19,234.59,238.3,SELL,HOLD,160906.16,0.0,160906.16
2023-03-29,193.88,234.68,236.97,SELL,HOLD,160906.16,0.0,160906.16
2023-03-30,195.28,234.48,235.93,SELL,HOLD,160906.16,0.0,160906.16
2023-03-31,207.46,233.84,235.08,SELL,HOLD,160906.16,0.0,160906.16
2023-04-03,194.77,232.74,234.38,SELL,HOLD,160906.16,0.0,160906.16
2023-04-04,192.58,231.02,233.71,SELL,HOLD,160906.16,0.0,160906.16
2023-04-05,185.52,228.68,232.99,SELL,HOLD,160906.16,0.0,160906.16
2023-04-06,185.06,225.6,232.11,SELL,HOLD,160906.16,0.0,160906.16
2023-04-10,184.51,221.81,231.01,SELL,HOLD,160906.16,0.0,160906.16
2023-04-11,186.79,217.27,229.6,SELL,HOLD,160906.16,0.0,160906.16
2023-04-12,180.54,212.07,227.8,SELL,HOLD,160906.16,0.0,160906.16
2023-04-13,185.9,206.22,225.56,SELL,HOLD,160906.16,0.0,160906.16
2023-04-14,185.0,199.79,222.83,SELL,HOLD,160906.16,0.0,160906.16
2023-04-17,187.04,192.82,219.58,SELL,HOLD,160906.16,0.0,160906.16
2023-04-18,184.31,185.34,215.77,SELL,HOLD,160906.16,0.0,160906.16
2023-04-19,180.59,177.53,211.42,SELL,HOLD,160906.16,0.0,160906.16
2023-04-20,162.99,169.5,206.55,SELL,HOLD,160906.16,0.0,160906.16
2023-04-21,165.08,161.35,201.15,SELL,HOLD,160906.16,0.0,160906.16
2023-04-24,162.55,153.18,195.29,SELL,HOLD,160906.16,0.0,160906.16
2023-04-25,160.67,145.08,189.01,SELL,HOLD,160906.16,0.0,160906.16
2023-04-26,153.75,137.17,182.38,SELL,HOLD,160906.16,0.0,160906.16
2023-04-27,160.19,129.57,175.47,SELL,HOLD,160906.16,0.0,160906.16
2023-04-28,164.31,122.39,168.37,SELL,HOLD,160906.16,0.0,160906.16
2023-05-01,161.83,115.7,161.16,SELL,HOLD,160906.16,0.0,160906.16
2023-05-02,160.31,109.61,153.94,SELL,HOLD,160906.16,0.0,160906.16
2023-05-03,160.61,104.14,146.79,SELL,HOLD,160906.16,0.0,160906.16
2023-05-04,161.2,99.46,139.81,SELL,HOLD,160906.16,0.0,160906.16
2023-05-05,170.06,95.58,133.09,SELL,HOLD,160906.16,0.0,160906.16
2023-05-08,171.79,92.53,126.73,SELL,HOLD,160906.16,0.0,160906.16
2023-05-09,169.15,90.37,120.81,SELL,HOLD,160906.16,0.0,160906.16
2023-05-10,168.54,89.15,115.42,SELL,HOLD,160906.16,0.0,160906.16
2023-05-11,172.08,88.93,110.61,SELL,HOLD,160906.16,0.0,160906.16
2023-05-12,167.98,89.7,106.48,SELL,HOLD,160906.16,0.0,160906.16
2023-05-15,166.35,91.5,103.08,SELL,HOLD,160906.16,0.0,160906.16
2023-05-16,166.52,94.29,100.46,SELL,HOLD,160906.16,0.0,160906.16
2023-05-17,173.86,98.06,98.66,SELL,HOLD,160906.16,0.0,160906.16
2023-05-18,176.89,102.83,97.73,BUY,BUY,0.0,908.73,160745.26
2023-05-19,180.14,108.52,97.68,BUY,HOLD,0.0,908.73,163698.63
2023-05-22,188.87,115.12,98.54,BUY,HOLD,0.0,908.73,171631.84
2023-05-23,185.77,122.52,100.32,BUY,HOLD,0.0,908.73,168814.78
2023-05-24,182.9,130.8,103.01,BUY,HOLD,0.0,908.73,166206.72
2023-05-25,184.47,139.77,106.6,BUY,HOLD,0.0,908.73,167633.43
2023-05-26,193.17,149.4,111.08,BUY,HOLD,0.0,908.73,175539.38
2023-05-30,201.16,159.52,116.41,BUY,HOLD,0.0,908.73,182800.14
2023-05-31,203.93,170.17,122.56,BUY,HOLD,0.0,908.73,185317.31
2023-06-01,207.52,181.07,129.46,BUY,HOLD,0.0,908.73,188579.66
2023-06-02,213.97,192.21,137.07,BUY,HOLD,0.0,908.73,194440.97
2023-06-05,217.61,203.36,145.3,BUY,HOLD,0.0,908.73,197748.74
2023-06-06,221.31,214.55,154.07,BUY,HOLD,0.0,908.73,201111.04
2023-06-07,224.57,225.55,163.32,BUY,HOLD,0.0,908.73,204073.51
2023-06-08,234.86,236.35,172.95,BUY,HOLD,0.0,908.73,213424.34
2023-06-09,244.4,246.74,182.86,BUY,HOLD,0.0,908.73,222093.61
2023-06-12,249.83,256.71,192.96,BUY,HOLD,0.0,908.73,227028.03
2023-06-13,258.71,266.09,203.15,BUY,HOLD,0.0,908.73,235097.54
2023-06-14,256.79,274.84,213.32,BUY,HOLD,0.0,908.73,233352.79
2023-06-15,255.9,282.89,223.38,BUY,HOLD,0.0,908.73,232544.01
2023-06-16,260.54,290.26,233.25,BUY,HOLD,0.0,908.73,236760.53
2023-06-20,274.45,296.81,242.8,BUY,HOLD,0.0,908.73,249400.97
2023-06-21,259.46,302.56,251.98,BUY,HOLD,0.0,908.73,235779.09
2023-06-22,264.61,307.43,260.7,BUY,HOLD,0.0,908.73,240459.04
2023-06-23,256.6,311.58,268.91,BUY,HOLD,0.0,908.73,233180.13
2023-06-26,241.05,314.87,276.52,BUY,HOLD,0.0,908.73,219049.38
2023-06-27,250.21,317.39,283.5,BUY,HOLD,0.0,908.73,227373.35
2023-06-28,256.24,319.04,289.8,BUY,HOLD,0.0,908.73,232852.97
2023-06-29,257.5,320.01,295.41,BUY,HOLD,0.0,908.73,233997.98
2023-06-30,261.77,320.14,300.26,BUY,HOLD,0.0,908.73,237878.25
2023-07-03,279.82,319.59,304.37,BUY,HOLD,0.0,908.73,254280.84
2023-07-05,282.48,318.28,307.72,BUY,HOLD,0.0,908.73,256698.07
2023-07-06,276.54,316.37,310.32,BUY,HOLD,0.0,908.73,251300.21
2023-07-07,274.43,313.76,312.16,BUY,HOLD,0.0,908.73,249382.78
2023-07-10,269.61,310.57,313.26,SELL,SELL,244757.69,0.0,244757.69
2023-07-11,269.79,306.63,313.59,SELL,HOLD,244757.69,0.0,244757.69
2023-07-12,271.99,302.01,313.2,SELL,HOLD,244757.69,0.0,244757.69
2023-07-13,277.9,296.66,312.08,SELL,HOLD,244757.69,0.0,244757.69
2023-07-14,281.38,290.73,310.25,SELL,HOLD,244757.69,0.0,244757.69
2023-07-17,290.38,284.08,307.7,SELL,HOLD,244757.69,0.0,244757.69
2023-07-18,293.34,276.81,304.46,SELL,HOLD,244757.69,0.0,244757.69
2023-07-19,291.26,268.8,300.53,SELL,HOLD,244757.69,0.0,244757.69
2023-07-20,262.9,260.27,295.94,SELL,HOLD,244757.69,0.0,244757.69
2023-07-21,260.02,251.01,290.67,SELL,HOLD,244757.69,0.0,244757.69
2023-07-24,269.06,241.28,284.76,SELL,HOLD,244757.69,0.0,244757.69
2023-07-25,265.28,230.98,278.22,SELL,HOLD,244757.69,0.0,244757.69
2023-07-26,264.35,220.34,271.08,SELL,HOLD,244757.69,0.0,244757.69
2023-07-27,255.71,209.22,263.33,SELL,HOLD,244757.69,0.0,244757.69
2023-07-28,266.44,197.97,255.06,SELL,HOLD,244757.69,0.0,244757.69
2023-07-31,267.43,186.46,246.25,SELL,HOLD,244757.69,0.0,244757.69
2023-08-01,261.07,175.03,237.01,SELL,HOLD,244757.69,0.0,244757.69
2023-08-02,254.11,163.66,227.39,SELL,HOLD,244757.69,0.0,244757.69
2023-08-03,259.32,152.66,217.46,SELL,HOLD,244757.69,0.0,244757.69
2023-08-04,253.86,142.01,207.27,SELL,HOLD,244757.69,0.0,244757.69
2023-08-07,251.45,131.96,196.96,SELL,HOLD,244757.69,0.0,244757.69
2023-08-08,249.7,122.6,186.61,SELL,HOLD,244757.69,0.0,244757.69
2023-08-09,242.19,114.16,176.34,SELL,HOLD,244757.69,0.0,244757.69
