Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2023-01-03,108.1,117.7,136.14,SELL,HOLD,100000.0,0.0,100000.0
2023-01-04,113.64,114.97,132.53,SELL,HOLD,100000.0,0.0,100000.0
2023-01-05,110.34,110.69,129.16,SELL,HOLD,100000.0,0.0,100000.0
2023-01-06,113.06,112.35,126.24,SELL,HOLD,100000.0,0.0,100000.0
2023-01-09,119.77,114.39,123.71,SELL,HOLD,100000.0,0.0,100000.0
2023-01-10,118.85,117.23,121.62,SELL,HOLD,100000.0,0.0,100000.0
2023-01-11,123.22,120.61,119.84,BUY,BUY,0.0,810.745,99900.0
2023-01-12,123.56,121.88,118.89,BUY,HOLD,0.0,810.745,100175.65
2023-01-13,122.4,123.06,117.88,BUY,HOLD,0.0,810.745,99235.19
2023-01-17,131.49,125.82,118.29,BUY,HOLD,0.0,810.745,106604.86
2023-01-18,128.78,127.56,118.67,BUY,HOLD,0.0,810.745,104407.74
2023-01-19,127.17,129.15,119.87,BUY,HOLD,0.0,810.745,103102.44
2023-01-20,133.42,129.79,121.25,BUY,HOLD,0.0,810.745,108169.6
2023-01-23,143.75,134.78,122.72,BUY,HOLD,0.0,810.745,116544.59
2023-01-24,143.89,140.35,124.1,BUY,HOLD,0.0,810.745,116658.1
2023-01-25,144.43,144.02,126.52,BUY,HOLD,0.0,810.745,117095.89
2023-01-26,160.27,149.53,129.63,BUY,HOLD,0.0,810.745,129938.1
2023-01-27,177.9,160.87,134.13,BUY,HOLD,0.0,810.745,144231.53
2023-01-30,166.66,168.28,137.7,BUY,HOLD,0.0,810.745,135118.76
2023-01-31,173.22,172.59,141.27,BUY,HOLD,0.0,810.745,140437.25
2023-02-01,181.41,173.76,145.44,BUY,HOLD,0.0,810.745,147077.25
2023-02-02,188.27,180.97,149.77,BUY,HOLD,0.0,810.745,152638.96
2023-02-03,189.98,186.55,154.2,BUY,HOLD,0.0,810.745,154025.33
2023-02-06,194.76,191.0,159.03,BUY,HOLD,0.0,810.745,157900.69
2023-02-07,196.81,193.85,163.38,BUY,HOLD,0.0,810.745,159562.72
2023-02-08,201.29,197.62,168.22,BUY,HOLD,0.0,810.745,163194.86
2023-02-09,207.32,201.81,173.56,BUY,HOLD,0.0,810.745,168083.66
2023-02-10,196.89,201.83,177.79,BUY,HOLD,0.0,810.745,159627.58
2023-02-13,194.64,199.62,181.18,BUY,HOLD,0.0,810.745,157803.41
2023-02-14,209.25,200.26,185.54,BUY,HOLD,0.0,810.745,169648.39
2023-02-15,214.24,206.04,190.19,BUY,HOLD,0.0,810.745,173694.01
2023-02-16,202.04,208.51,192.98,BUY,HOLD,0.0,810.745,163802.91
2023-02-17,208.31,208.2,195.01,BUY,HOLD,0.0,810.745,168886.29
2023-02-21,197.37,202.57,197.05,BUY,HOLD,0.0,810.745,160016.74
2023-02-22,200.86,202.18,198.9,BUY,HOLD,0.0,810.745,162846.24
2023-02-23,202.07,200.1,200.27,HOLD,HOLD,0.0,810.745,163827.25
2023-02-24,196.88,199.94,200.85,SELL,SELL,159459.86,0.0,159459.86
2023-02-27,207.63,202.19,202.02,HOLD,HOLD,159459.86,0.0,159459.86
2023-02-28,205.71,203.41,202.75,BUY,BUY,0.0,774.3931,159300.4
2023-03-01,202.77,205.37,203.15,BUY,HOLD,0.0,774.3931,157023.68
2023-03-02,190.9,199.79,202.46,SELL,SELL,147683.8,0.0,147683.8
