Ticker,Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
AAPL,B&H,30.658,1.015,0.919,1.451,-33.361,25.616,55.1,121.636,
AAPL,MACD,6.198,0.206,0.286,0.203,-21.677,16.274,28.1,19.599,
AAPL,RSI,4.548,0.12,0.15,0.107,-30.223,19.6,21.3,14.155,
AAPL,SMA,7.226,0.257,0.235,0.28,-30.763,17.632,33.5,23.077,
AMZN,B&H,39.782,1.083,1.288,1.646,-30.877,31.954,53.3,170.951,
AMZN,MACD,-0.389,-0.07,-0.013,-0.075,-30.677,23.49,24.5,-1.153,
AMZN,RSI,16.638,0.667,0.786,0.565,-21.18,20.054,17.7,58.1,
AMZN,SMA,13.902,0.492,0.783,0.642,-17.752,24.326,33.5,47.317,
GOOGL,B&H,53.04,1.425,1.78,2.084,-29.806,30.294,55.9,254.827,
GOOGL,MACD,22.54,0.845,1.102,0.921,-20.446,22.241,28.3,83.117,
GOOGL,RSI,7.366,0.29,0.442,0.189,-16.676,14.137,12.1,23.555,
GOOGL,SMA,31.161,1.042,1.743,1.235,-17.879,25.248,37.5,124.185,
MSFT,B&H,27.969,1.006,1.179,1.529,-23.727,23.214,54.4,108.338,
MSFT,MACD,2.34,-0.018,0.097,-0.018,-24.125,16.65,25.6,7.126,
MSFT,RSI,11.643,0.666,1.449,0.435,-8.033,11.508,11.2,38.789,
MSFT,SMA,9.206,0.361,0.306,0.414,-30.121,17.588,31.9,29.965,
TSLA,B&H,62.011,1.034,1.153,1.702,-53.766,60.094,52.0,320.379,
TSLA,MACD,68.532,1.361,1.909,1.748,-35.904,41.741,29.1,372.773,
TSLA,RSI,31.482,0.78,0.649,0.863,-48.54,40.006,21.7,125.822,
TSLA,SMA,35.374,0.826,0.686,0.982,-51.583,42.981,31.3,146.307,
AAPL,FinAgent(원본),14.522,0.634,0.573,0.696,-25.363,17.505,34.4,49.713,52.0
AAPL,CWT-FinAgent(제안),34.251,1.657,4.031,1.945,-8.496,16.152,29.3,140.274,28.0
AMZN,FinAgent(원본),16.731,0.599,0.903,0.767,-18.52,23.911,32.9,58.474,61.0
AMZN,CWT-FinAgent(제안),41.902,1.487,2.887,1.87,-14.512,22.553,26.9,183.363,30.0
GOOGL,FinAgent(원본),21.998,0.782,0.68,0.957,-32.34,23.994,34.4,80.72,67.0
GOOGL,CWT-FinAgent(제안),39.986,1.437,2.366,1.539,-16.901,22.383,29.5,172.129,28.0
MSFT,FinAgent(원본),11.316,0.468,0.501,0.536,-22.591,17.687,32.7,37.583,61.0
MSFT,CWT-FinAgent(제안),26.035,1.243,2.043,1.41,-12.741,16.496,30.1,99.104,30.0
TSLA,FinAgent(원본),53.289,1.125,1.531,1.478,-34.797,42.291,30.0,256.548,60.0
TSLA,CWT-FinAgent(제안),109.414,1.888,3.206,2.377,-34.123,41.552,28.7,802.349,28.0
